RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,231440,219481,11959
19161,3990,3668,322
19027,9737,8762,975
19013,58605,53469,5136
19017,11510,10512,998
19019,8558,7981,577
19195,2920,2751,169
19033,19918,18386,1532
19081,4062,3631,431
19169,47180,44600,2580
19139,18802,15098,3704
19165,5286,5076,210
19009,2561,2414,147
19191,9719,8873,846
19103,84218,79682,4536
19065,8266,7726,540
19061,48810,47182,1628
19147,3529,3319,210
19183,9452,8797,655
19193,38615,34260,4355
19003,1477,1426,51
19173,2199,2137,62
19041,6525,6171,354
19123,7112,6358,754
19125,13017,10946,2071
19157,8323,7897,426
19099,16104,14630,1474
19073,3884,3391,493
19113,113178,105338,7840
19095,7740,7104,636
19049,44441,42226,2215
19145,6028,5545,483
19127,18054,15679,2375
19029,5817,5477,340
19045,17863,16535,1328
19055,7051,6241,810
19025,4480,4168,312
19129,5388,5120,268
19137,4134,3620,514
19175,4713,4470,243
19155,34704,32656,2048
19005,5125,4917,208
19105,9570,8602,968
19163,67566,62675,4891
19023,6590,6190,400
19021,9027,6141,2886
19167,11181,9571,1610
19031,8604,7964,640
19179,12539,10360,2179
19035,4719,4375,344
19087,8011,6524,1487
19011,11196,10347,849
19057,14095,13299,796
19079,7084,6433,651
19187,15347,14107,1240
19077,4781,4472,309
19149,9929,7906,2023
19083,7278,6397,881
19067,6304,5836,468
19047,6636,5348,1288
19015,12711,12019,692
19181,22371,21164,1207
19141,5458,4976,482
19121,6577,6274,303
19037,4995,4340,655
19089,3550,3116,434
19069,4063,3714,349
19109,6119,5595,524
19117,2999,2636,363
19111,12049,10625,1424
19071,2452,2266,186
19177,2205,2018,187
19159,1985,1947,38
19133,3514,3310,204
19085,5201,4860,341
19091,3679,3335,344
19171,7674,6900,774
19189,4250,3697,553
19135,2750,2450,300
19063,3641,3341,300
19115,4166,3171,995
19059,7889,7642,247
19093,2564,2176,388
19075,5861,5416,445
19151,2679,2476,203
19101,6603,5921,682
19043,6739,6190,549
19131,4003,3828,175
19119,3364,3205,159
19007,4417,4026,391
19051,2473,2328,145
19185,2012,1851,161
19143,2156,1959,197
19053,2386,2164,222
19197,5523,4645,878
19039,3694,3009,685
19107,3615,3332,283
19097,8032,7677,355
19001,2782,2479,303
,44,38,6
