RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,47523,44927,2596
19197,5591,4705,886
19113,114093,106196,7897
19157,8394,7961,433
19153,234266,222157,12109
19099,16241,14745,1496
19139,18942,15215,3727
19049,44864,42621,2243
19163,68309,63362,4947
19057,14211,13411,800
19135,2784,2484,300
19143,2168,1970,198
19055,7106,6288,818
19171,7719,6944,775
19061,49166,47525,1641
19103,84706,80127,4579
19075,5873,5424,449
19165,5316,5104,212
19151,2693,2489,204
19193,38991,34616,4375
19029,5855,5513,342
19079,7133,6480,653
19023,6616,6214,402
19155,35233,33183,2050
19175,4764,4517,247
19045,18038,16697,1341
19021,9106,6197,2909
19083,7314,6430,884
19093,2569,2181,388
19033,20090,18541,1549
19025,4497,4182,315
19071,2496,2302,194
19121,6628,6325,303
19013,58966,53805,5161
19035,4742,4395,347
19047,6683,5392,1291
19059,7929,7678,251
19173,2204,2140,64
19131,4043,3861,182
19187,15460,14205,1255
19127,18279,15890,2389
19097,8086,7730,356
19007,4443,4049,394
19149,10020,7993,2027
19065,8319,7778,541
19137,4190,3675,515
19117,3024,2656,368
19181,22622,21405,1217
19015,12864,12169,695
19081,4103,3672,431
19109,6171,5644,527
19011,11273,10413,860
19043,6770,6214,556
19161,4010,3686,324
19027,9783,8804,979
19179,12697,10481,2216
19069,4118,3766,352
19123,7156,6401,755
19031,8664,8020,644
19089,3580,3143,437
19189,4281,3721,560
19017,11602,10595,1007
19085,5233,4886,347
19183,9548,8890,658
19019,8602,8022,580
19095,7780,7139,641
19005,5147,4939,208
19195,2929,2758,171
19105,9625,8645,980
19141,5515,5027,488
19077,4822,4512,310
19191,9809,8960,849
19063,3664,3358,306
19111,12143,10706,1437
19147,3558,3347,211
19145,6086,5602,484
19051,2486,2341,145
19125,13118,11043,2075
19133,3581,3373,208
19067,6351,5876,475
19009,2582,2434,148
19053,2394,2172,222
19185,2031,1869,162
19003,1482,1429,53
19041,6571,6212,359
19115,4195,3198,997
19107,3655,3370,285
19087,8053,6559,1494
19119,3375,3216,159
19001,2806,2502,304
19101,6641,5958,683
19039,3725,3039,686
19167,11230,9615,1615
19159,1989,1951,38
19073,3908,3414,494
19129,5658,5389,269
19091,3694,3350,344
19177,2210,2023,187
19037,5033,4373,660
,42,36,6
