ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19157,9103,8696,407
19155,45801,41026,4775
19027,10182,9109,1073
19197,6276,4579,1697
19113,122045,113790,8255
19187,17150,15937,1213
19169,48667,46016,2651
19147,3341,3196,145
19153,241756,230227,11529
19139,17549,12743,4806
19049,43222,40896,2326
19103,88778,84737,4041
19057,17268,16585,683
19087,8750,6905,1845
19033,25053,23315,1738
19135,3334,3059,275
19143,1613,1453,160
19105,6744,5882,862
19171,8782,7813,969
19061,58969,56931,2038
19179,12050,11281,769
19125,15291,11308,3983
19013,68452,62505,5947
19165,5635,5513,122
19151,1972,1828,144
19193,44635,39943,4692
19029,10229,9815,414
19079,7023,6622,401
19163,79673,73775,5898
19175,4841,4562,279
19045,16558,15092,1466
19021,9941,6440,3501
19091,4143,3772,371
19081,3618,2912,706
19055,5141,4389,752
19011,7643,7192,451
19025,4223,4054,169
19129,5737,5594,143
19035,4713,4464,249
19047,7302,5728,1574
19075,4715,4342,373
19161,3232,3187,45
19131,4373,4232,141
19059,7455,7223,232
19173,2160,2143,17
19073,4669,4176,493
19127,15228,12553,2675
19185,3204,2833,371
19121,6795,6644,151
19117,3632,3252,380
19167,12106,9492,2614
19007,4493,4028,465
19015,11078,10551,527
19099,14210,13122,1088
19149,9584,6693,2891
19065,10572,9678,894
19137,3604,3039,565
19145,7180,6416,764
19109,6025,5553,472
19181,16841,15915,926
19017,12668,11484,1184
19097,7944,7698,246
19043,6523,5872,651
19041,8101,7859,242
19069,3571,3332,239
19031,6250,5979,271
19089,2188,2024,164
19039,5311,3959,1352
19189,4202,3711,491
19095,6051,5454,597
19023,3930,3769,161
19005,5499,5393,106
19141,5354,5029,325
19195,1668,1667,1
19083,7195,5888,1307
19063,4823,4454,369
19051,4785,3131,1654
19111,12967,11160,1807
19191,8512,7533,979
19019,6228,5922,306
19067,7042,6034,1008
19009,2037,1936,101
19053,2875,2757,118
19183,7295,6779,516
19115,4637,3118,1519
19003,1618,1610,8
19123,7531,7025,506
19001,2471,2144,327
19101,7768,6838,930
,5211,5210,1
19093,2009,1524,485
19077,4412,4174,238
19037,3045,2715,330
19085,3453,3215,238
19133,2275,2085,190
19159,2007,2003,4
19071,1672,1574,98
19119,2981,2911,70
19177,1499,1394,105
19107,1665,1565,100
