ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19103,89106,85044,4062
19153,243393,231748,11645
19167,12149,9530,2619
19047,7344,5768,1576
19033,25191,23431,1760
19131,4374,4232,142
19195,1681,1680,1
19183,7350,6828,522
19165,5648,5524,124
19169,48970,46302,2668
19155,46002,41220,4782
19113,122594,114288,8306
19083,7229,5918,1311
19031,6261,5986,275
19045,16697,15220,1477
19055,5163,4411,752
19017,12743,11552,1191
19099,14315,13201,1114
19185,3216,2841,375
19023,3930,3769,161
19163,80242,74310,5932
19175,4865,4585,280
19009,2037,1936,101
19173,2179,2162,17
19013,68727,62763,5964
19111,13024,11203,1821
19049,43526,41173,2353
19041,8112,7869,243
19139,17622,12806,4816
19141,5370,5042,328
19097,7980,7729,251
19193,44876,40169,4707
19187,17260,16008,1252
19109,6053,5581,472
19181,16916,15982,934
19061,59252,57200,2052
19127,15414,12703,2711
19105,6765,5902,863
19021,9988,6477,3511
19125,15345,11358,3987
19117,3652,3269,383
19003,1630,1622,8
19057,17364,16673,691
19191,8555,7573,982
19053,2882,2764,118
19123,7557,7047,510
19011,7663,7207,456
19179,12161,11349,812
19189,4230,3737,493
19073,4703,4207,496
19145,7211,6438,773
19007,4505,4035,470
19085,3471,3231,240
19029,10264,9847,417
19095,6057,5459,598
19129,5760,5616,144
19059,7482,7247,235
19079,7046,6645,401
19043,6536,5884,652
19161,3246,3197,49
19027,10225,9148,1077
19005,5508,5401,107
19065,10598,9698,900
19147,3346,3201,145
19067,7068,6056,1012
19063,4827,4458,369
19035,4727,4475,252
19019,6256,5949,307
19101,7866,6931,935
19037,3045,2715,330
19015,11114,10582,532
19051,4795,3138,1657
19171,8861,7892,969
19001,2473,2146,327
19137,3613,3045,568
19081,3630,2921,709
19025,4224,4055,169
19135,3350,3070,280
19159,2027,2023,4
19149,9644,6730,2914
19091,4155,3781,374
19151,1974,1829,145
19143,1617,1457,160
19069,3579,3340,239
19133,2276,2086,190
19075,4777,4402,375
19197,6305,4600,1705
19077,4437,4199,238
19093,2015,1526,489
19157,9127,8720,407
19121,6835,6681,154
19039,5331,3979,1352
19087,8769,6921,1848
19107,1665,1565,100
19177,1505,1394,111
19115,4641,3122,1519
19089,2188,2024,164
,5211,5210,1
19119,2984,2914,70
19071,1676,1578,98
