ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,24867,23943,924
,4255,4255,0
19013,44261,39781,4480
19153,120738,114038,6700
19123,4349,4100,249
19049,19121,17657,1464
19193,27230,24485,2745
19077,2660,2484,176
19099,7892,7397,495
19163,48850,44935,3915
19113,68700,62042,6658
19059,4761,4646,115
19035,3184,3014,170
19197,4710,3230,1480
19087,4679,4125,554
19179,7662,7227,435
19129,3225,3140,85
19155,31225,26932,4293
19029,7398,7170,228
19139,11262,7164,4098
19061,35916,34840,1076
19189,2660,2273,387
19033,17102,15969,1133
19171,5402,4462,940
19157,4494,4356,138
19127,8538,6030,2508
19105,3803,3198,605
19187,10343,9514,829
19007,3275,2901,374
19095,3632,3166,466
19121,3894,3816,78
19079,4112,3788,324
19195,1159,1159,0
19005,4215,4170,45
19191,4445,3932,513
19083,4843,3701,1142
19089,1371,1284,87
19147,2441,2359,82
19067,4509,3795,714
19065,7776,6968,808
19109,4295,3921,374
19135,2234,2035,199
19063,3225,2929,296
19019,4116,3926,190
19081,2592,2040,552
19043,4870,4302,568
19037,2251,1953,298
19103,53351,50676,2675
19091,2236,1921,315
19101,4322,3568,754
19167,8664,6331,2333
19149,7286,4508,2778
19047,5219,3761,1458
19017,8963,8011,952
19143,1159,1039,120
19055,3378,2807,571
19021,7289,4149,3140
19125,10715,7039,3676
19117,2133,1827,306
19039,4085,2836,1249
19041,5963,5913,50
19057,12058,11525,533
19031,4040,3839,201
19137,2355,1856,499
19145,4515,3889,626
19015,6610,6331,279
19045,9737,8696,1041
19141,3861,3636,225
19133,1478,1373,105
19011,4769,4413,356
19119,1976,1951,25
19183,4172,3792,380
19111,8496,7345,1151
19085,2121,1934,187
19181,9357,8886,471
19075,3012,2812,200
19173,1622,1622,0
19185,2178,1846,332
19073,2370,2035,335
19023,2857,2792,65
19161,2401,2401,0
19097,5077,4955,122
19027,5832,5064,768
19115,3681,2188,1493
19131,3350,3350,0
19025,3047,2947,100
19165,3551,3513,38
19151,1333,1203,130
19175,2759,2645,114
19159,1476,1476,0
19001,1703,1450,253
19053,1958,1853,105
19003,1201,1201,0
19051,3588,2011,1577
19071,1210,1139,71
19069,2494,2319,175
19009,1547,1451,96
19107,1177,1077,100
19093,1544,1183,361
19177,976,914,62
