ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19035,3945,3772,173
,4254,4254,0
19113,88778,81869,6909
19153,163400,156171,7229
19103,68032,65082,2950
19139,13277,9170,4107
19179,9354,8913,441
19013,54452,49803,4649
19049,28604,27105,1499
19017,10307,9349,958
19163,62688,58626,4062
19169,32190,30619,1571
19019,5113,4923,190
19043,5887,5298,589
19065,9320,8487,833
19105,4638,4033,605
19141,4451,4226,225
19171,6460,5516,944
19031,5058,4857,201
19101,6389,5635,754
19057,14499,13934,565
19193,38042,34321,3721
19183,5489,5086,403
19061,48285,46955,1330
19011,6275,5912,363
19177,1333,1254,79
19087,6026,5370,656
19157,6837,6666,171
19145,5600,4973,627
19125,12859,9140,3719
19071,1416,1343,73
19077,3337,3163,174
19097,6166,6029,137
19155,36942,32635,4307
19067,5628,4875,753
19021,8238,5078,3160
19093,1797,1371,426
19075,3893,3686,207
19045,12250,11176,1074
19181,12334,11773,561
19029,8990,8734,256
19187,13757,12914,843
19039,4527,3245,1282
19099,9925,9386,539
19095,4237,3760,477
19191,6269,5594,675
19149,8564,5768,2796
19055,4277,3636,641
19111,10203,9000,1203
19175,3626,3480,146
19083,5947,4768,1179
19147,2898,2810,88
19109,5227,4847,380
19063,4288,3991,297
19121,5120,5015,105
19053,2563,2458,105
19127,10503,7983,2520
19081,2949,2373,576
19005,4936,4887,49
19091,3725,3407,318
19167,10086,7728,2358
19027,8183,7390,793
19025,3576,3451,125
19003,1480,1479,1
19015,8505,8180,325
19059,6267,6127,140
19023,3235,3132,103
19131,3877,3813,64
19069,3041,2854,187
19047,6220,4754,1466
19143,1375,1250,125
19073,3949,3595,354
19115,4268,2775,1493
19033,20065,18824,1241
19051,4404,2809,1595
19137,3022,2512,510
19007,3959,3550,409
19197,5266,3773,1493
19041,7105,7027,78
19079,5615,5276,339
19037,2543,2245,298
19009,1828,1727,101
19133,1672,1567,105
19117,2844,2525,319
19123,5609,5329,280
19189,3431,3039,392
19129,4223,4131,92
19089,1599,1512,87
19135,2779,2580,199
19185,2822,2484,338
19001,2143,1863,280
19165,4819,4764,55
19151,1562,1432,130
19159,1724,1724,0
19173,1942,1942,0
19161,2806,2806,0
19085,2775,2588,187
19107,1374,1274,100
19195,1354,1354,0
19119,2496,2471,25
