ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,35488,33682,1806
,4254,4254,0
19037,2731,2433,298
19167,10702,8251,2451
19029,9547,9261,286
19067,5938,5157,781
19163,66880,62379,4501
19103,75186,71929,3257
19117,3110,2780,330
19165,5172,5102,70
19147,3058,2959,99
19149,8896,6090,2806
19181,13861,13243,618
19155,38111,33626,4485
19193,39376,35317,4059
19049,31376,29765,1611
19153,184379,176206,8173
19113,97713,90618,7095
19013,58713,53764,4949
19087,6883,5747,1136
19129,4613,4516,97
19195,1472,1472,0
19091,3806,3482,324
19175,4104,3939,165
19045,13340,12209,1131
19179,10185,9722,463
19047,6577,5110,1467
19055,4372,3711,661
19015,9222,8864,358
19059,6687,6529,158
19083,6388,5193,1195
19041,7292,7187,105
19161,2995,2967,28
19099,10911,10335,576
19121,5787,5677,110
19135,2941,2729,212
19157,7464,7277,187
19109,5447,5066,381
19053,2663,2558,105
19025,3722,3592,130
19043,6103,5498,605
19085,3016,2814,202
19063,4447,4138,309
19127,11480,8933,2547
19051,4516,2903,1613
19033,21372,20119,1253
19065,9671,8828,843
19081,3121,2528,593
19139,14409,10227,4182
19125,13636,9872,3764
19101,6653,5849,804
19183,5949,5546,403
19035,4205,4015,190
19141,4752,4507,245
19123,6253,5942,311
19031,5520,5296,224
19057,15221,14632,589
19023,3511,3398,113
19171,7045,6101,944
19187,14557,13638,919
19189,3784,3369,415
19011,6684,6307,377
19145,6010,5383,627
19177,1364,1280,84
19005,5021,4963,58
19061,52020,50542,1478
19077,3690,3498,192
19197,5602,4076,1526
19069,3254,3057,197
19111,10755,9505,1250
19185,3020,2682,338
19105,5146,4507,639
19137,3188,2673,515
19079,6114,5770,344
19021,8694,5522,3172
19017,11114,10085,1029
19027,8636,7758,878
19095,5356,4867,489
19089,1816,1710,106
19073,4243,3831,412
19019,5568,5353,215
19075,4116,3890,226
19191,6837,6101,736
19143,1441,1312,129
19009,1916,1815,101
19107,1471,1371,100
19115,4309,2816,1493
19097,6858,6704,154
19173,2049,2043,6
19039,4762,3457,1305
19093,1835,1381,454
19131,3899,3817,82
19119,2666,2639,27
19133,1761,1645,116
19159,1827,1826,1
19001,2220,1932,288
19007,4120,3700,420
19151,1691,1561,130
19071,1523,1445,78
19003,1536,1535,1
