ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
,4254,4254,0
19127,13070,10522,2548
19193,40090,35939,4151
19153,197272,188414,8858
19065,10005,9157,848
19095,5706,5196,510
19155,40284,35767,4517
19103,77795,74374,3421
19113,102719,95468,7251
19187,14991,14039,952
19117,3334,2991,343
19013,60791,55656,5135
19169,40454,38515,1939
19185,3058,2712,346
19027,9358,8416,942
19057,15644,15047,597
19049,35058,33364,1694
19181,14547,13872,675
19099,11852,11096,756
19015,9710,9321,389
19051,4592,2972,1620
19163,69072,64370,4702
19109,5562,5181,381
19033,22371,21064,1307
19157,7662,7467,195
19195,1531,1531,0
19167,11123,8650,2473
19083,6641,5429,1212
19189,3889,3467,422
19139,15103,10822,4281
19019,5732,5499,233
19009,1976,1875,101
19005,5155,5081,74
19045,13882,12703,1179
19017,11504,10451,1053
19179,10443,9968,475
19061,53890,52288,1602
19041,7399,7269,130
19147,3139,3024,115
19043,6274,5659,615
19191,7328,6533,795
19003,1558,1556,2
19173,2072,2063,9
19111,11383,10062,1321
19175,4329,4149,180
19077,3919,3724,195
19121,6231,6111,120
19073,4325,3903,422
19053,2744,2639,105
19133,1873,1757,116
19055,4641,3969,672
19165,5268,5188,80
19007,4194,3768,426
19011,7011,6612,399
19067,6339,5499,840
19063,4546,4227,319
19035,4357,4154,203
19123,6677,6337,340
19101,6886,6070,816
19037,2873,2575,298
19081,3152,2552,600
19029,9653,9352,301
19135,3020,2799,221
19059,6918,6750,168
19159,1867,1866,1
19125,14099,10287,3812
19149,9042,6224,2818
19141,4906,4645,261
19091,3918,3586,332
19021,8842,5666,3176
19151,1862,1722,140
19031,5839,5601,238
19143,1485,1356,129
19161,3166,3132,34
19069,3355,3151,204
19075,4267,4020,247
19171,7471,6515,956
19197,5692,4145,1547
19047,6774,5273,1501
19145,6128,5483,645
19097,7435,7255,180
19093,1883,1426,457
19085,3217,3013,204
19025,3754,3612,142
19115,4436,2938,1498
19131,3900,3818,82
19119,2751,2709,42
19129,4756,4656,100
19001,2266,1971,295
19183,6408,5954,454
19023,3718,3605,113
19087,7502,6144,1358
19079,6487,6113,374
19039,4925,3615,1310
19105,5399,4698,701
19137,3295,2771,524
19089,2021,1886,135
19107,1545,1445,100
19071,1551,1473,78
19177,1419,1331,88
