ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
,5284,5284,0
19047,6913,5392,1521
19027,9480,8505,975
19153,210829,201097,9732
19113,107606,100083,7523
19049,37899,35936,1963
19067,6610,5692,918
19169,43630,41314,2316
19125,14529,10605,3924
19017,11914,10814,1100
19099,12462,11636,826
19171,7653,6697,956
19029,9768,9437,331
19013,62908,57529,5379
19061,55449,53662,1787
19135,3075,2832,243
19155,41527,36915,4612
19035,4458,4241,217
19109,5661,5280,381
19103,79957,76394,3563
19149,9180,6353,2827
19179,10846,10346,500
19087,7824,6260,1564
19069,3429,3216,213
19031,5929,5683,246
19041,7561,7405,156
19033,23161,21684,1477
19163,71871,66708,5163
19195,1612,1612,0
19011,7193,6779,414
19037,2931,2626,305
19127,13934,11344,2590
19089,2084,1945,139
19015,10247,9795,452
19075,4479,4178,301
19147,3190,3065,125
19111,11948,10428,1520
19007,4278,3837,441
19051,4646,3009,1637
19057,16049,15434,615
19001,2326,2018,308
19157,8258,7984,274
19079,6684,6303,381
19065,10146,9297,849
19023,3835,3699,136
19167,11422,8922,2500
19141,5029,4745,284
19121,6450,6314,136
19105,6159,5409,750
19021,9131,5920,3211
19181,15505,14718,787
19019,5935,5680,255
19117,3409,3044,365
19187,15401,14430,971
19095,5779,5247,532
19053,2773,2659,114
19039,5026,3715,1311
19091,3975,3631,344
19183,6621,6157,464
19005,5266,5178,88
19193,41467,37119,4348
19161,3196,3157,39
19139,15952,11512,4440
19073,4400,3952,448
19083,6759,5530,1229
19043,6341,5717,624
19131,4158,4040,118
19197,5816,4244,1572
19097,7549,7351,198
19101,7098,6242,856
19145,6632,5982,650
19129,4883,4761,122
19137,3396,2850,546
19081,3427,2750,677
19175,4492,4273,219
19025,4127,3972,155
19107,1581,1481,100
19123,6929,6533,396
19085,3326,3118,208
19189,3980,3531,449
19159,1900,1897,3
19055,4755,4058,697
19059,7037,6861,176
19077,4045,3835,210
19115,4505,2998,1507
19133,1946,1820,126
19009,2004,1903,101
19063,4625,4289,336
19003,1570,1566,4
19173,2102,2092,10
19151,1921,1781,140
19045,14950,13724,1226
19143,1527,1382,145
19093,1919,1456,463
19191,7703,6813,890
19165,5347,5259,88
19185,3103,2745,358
19071,1593,1504,89
19177,1442,1352,90
19119,2831,2780,51
