ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
,5276,5276,0
19145,6799,6123,676
19061,56253,54363,1890
19153,219423,209042,10381
19135,3111,2854,257
19113,112427,104639,7788
19169,44786,42365,2421
19193,42216,37791,4425
19141,5089,4794,295
19049,39247,37131,2116
19011,7350,6923,427
19187,16298,15283,1015
19013,64104,58529,5575
19115,4563,3050,1513
19101,7311,6422,889
19057,16333,15700,633
19035,4542,4317,225
19155,42810,38151,4659
19183,6795,6323,472
19129,4938,4803,135
19065,10240,9373,867
19073,4444,3975,469
19121,6550,6409,141
19099,13105,12184,921
19117,3461,3092,369
19055,4863,4144,719
19175,4600,4358,242
19149,9244,6396,2848
19157,8560,8216,344
19179,11145,10608,537
19097,7624,7408,216
19103,82806,79090,3716
19171,7992,7028,964
19045,15520,14212,1308
19027,9654,8650,1004
19043,6418,5790,628
19161,3215,3173,42
19163,73651,68206,5445
19047,6991,5461,1530
19059,7141,6949,192
19033,23490,21919,1571
19105,6381,5597,784
19017,12114,10988,1126
19095,5876,5314,562
19087,8319,6646,1673
19067,6754,5808,946
19009,2014,1913,101
19111,12218,10612,1606
19039,5071,3748,1323
19079,6765,6374,391
19077,4182,3954,228
19001,2343,2030,313
19015,10473,9996,477
19127,14381,11791,2590
19181,15935,15096,839
19083,6895,5634,1261
19125,14778,10829,3949
19139,16543,11975,4568
19025,4168,4011,157
19123,7126,6682,444
19167,11570,9055,2515
19031,5986,5737,249
19085,3334,3118,216
19071,1615,1521,94
19191,7968,7039,929
19165,5444,5346,98
19041,7661,7474,187
19093,1952,1474,478
19081,3482,2792,690
19037,2965,2649,316
19063,4675,4333,342
19007,4337,3886,451
19089,2121,1968,153
19131,4248,4130,118
19147,3231,3097,134
19119,2918,2856,62
19019,5989,5707,282
19021,9279,6052,3227
19159,1934,1930,4
19185,3133,2768,365
19143,1573,1420,153
19197,5958,4312,1646
19195,1636,1636,0
19189,4041,3572,469
19005,5361,5264,97
19053,2803,2685,118
19075,4581,4257,324
19029,9850,9510,340
19109,5826,5369,457
19133,2052,1897,155
19051,4672,3026,1646
19107,1608,1508,100
19003,1587,1581,6
19173,2117,2106,11
19137,3464,2912,552
19091,4027,3669,358
19069,3470,3247,223
19151,1926,1786,140
19023,3855,3718,137
19177,1455,1364,91
