ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19163,75633,70010,5623
19049,40545,38356,2189
19155,43807,39098,4709
19169,45715,43208,2507
19153,226905,216103,10802
19193,42901,38395,4506
19027,9798,8754,1044
19019,6041,5747,294
19103,84631,80835,3796
19013,65453,59759,5694
19061,56929,54972,1957
19167,11796,9236,2560
19033,24106,22468,1638
19057,16636,15986,650
19127,14596,11988,2608
19015,10639,10140,499
19147,3269,3131,138
19113,115582,107615,7967
19111,12427,10744,1683
19091,4067,3699,368
19067,6855,5880,975
19179,11425,10840,585
19055,4979,4256,723
19139,16826,12190,4636
19073,4497,4023,474
19079,6850,6454,396
19171,8174,7210,964
19047,7106,5548,1558
19121,6662,6518,144
19043,6454,5815,639
19183,6949,6467,482
19095,5909,5334,575
19021,9387,6131,3256
19087,8458,6734,1724
19025,4188,4028,160
19181,16227,15348,879
19045,15854,14476,1378
19099,13473,12482,991
19175,4691,4426,265
19031,6067,5807,260
19029,9974,9581,393
19039,5134,3804,1330
19157,8716,8353,363
19017,12264,11114,1150
19065,10369,9491,878
19105,6447,5649,798
19001,2368,2048,320
19059,7234,7029,205
19077,4221,3991,230
19011,7450,7013,437
19187,16500,15467,1033
19097,7705,7476,229
,5212,5211,1
19085,3401,3182,219
19009,2028,1927,101
19195,1646,1645,1
19129,5037,4898,139
19083,6978,5700,1278
19189,4081,3605,476
19005,5432,5328,104
19123,7271,6814,457
19101,7507,6598,909
19007,4386,3931,455
19081,3552,2862,690
19145,6922,6223,699
19041,7785,7568,217
19165,5493,5392,101
19173,2147,2132,15
19131,4287,4158,129
19125,14965,10998,3967
19003,1592,1586,6
19107,1630,1530,100
19197,6015,4359,1656
19191,8127,7181,946
19141,5155,4842,313
19023,3912,3759,153
19063,4724,4377,347
19151,1935,1791,144
19035,4603,4367,236
19069,3483,3256,227
19053,2822,2704,118
19149,9306,6446,2860
19109,5893,5433,460
19115,4587,3074,1513
19135,3176,2909,267
19119,2955,2886,69
19117,3501,3129,372
19037,2966,2650,316
19075,4624,4285,339
19185,3161,2795,366
19093,1985,1507,478
19133,2133,1966,167
19159,1968,1964,4
19143,1593,1435,158
19161,3224,3179,45
19137,3505,2951,554
19051,4704,3055,1649
19071,1631,1537,94
19177,1486,1387,99
19089,2142,1983,159
