ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,57159,55192,1967
19169,46127,43589,2538
19163,76278,70624,5654
19135,3182,2915,267
19177,1488,1389,99
19127,14616,12004,2612
19197,6028,4370,1658
19049,40872,38672,2200
19153,229039,218147,10892
19113,116583,108578,8005
19155,44252,39527,4725
19017,12305,11152,1153
19013,66047,60291,5756
19021,9444,6182,3262
19027,9832,8785,1047
19181,16312,15431,881
19117,3510,3134,376
19011,7472,7035,437
19031,6080,5818,262
19187,16562,15528,1034
19087,8517,6773,1744
19193,43132,38603,4529
19141,5177,4863,314
19065,10390,9511,879
19123,7314,6848,466
19103,85631,81798,3833
19003,1596,1590,6
19173,2147,2132,15
19007,4394,3938,456
19105,6467,5665,802
19045,15926,14540,1386
19043,6462,5820,642
19149,9334,6470,2864
19015,10684,10182,502
19057,16729,16071,658
19147,3279,3139,140
19005,5440,5336,104
19073,4510,4035,475
19095,5921,5344,577
19145,6947,6243,704
19033,24209,22552,1657
19183,7048,6559,489
19059,7256,7049,207
19161,3227,3182,45
19029,10037,9639,398
19055,4990,4265,725
19129,5067,4928,139
19101,7540,6627,913
19125,15011,11032,3979
19077,4227,3995,232
19099,13641,12613,1028
19111,12513,10803,1710
19109,5906,5445,461
,5212,5211,1
19191,8177,7230,947
19081,3572,2868,704
19157,8869,8469,400
19119,2957,2888,69
19097,7715,7483,232
19189,4088,3610,478
19035,4615,4378,237
19121,6677,6533,144
19085,3405,3185,220
19023,3916,3762,154
19165,5511,5407,104
19075,4650,4306,344
19083,7010,5730,1280
19069,3484,3257,227
19171,8328,7364,964
19063,4732,4385,347
19079,6879,6483,396
19133,2138,1967,171
19025,4199,4038,161
19151,1935,1791,144
19179,11494,10901,593
19039,5141,3808,1333
19167,11838,9274,2564
19091,4083,3713,370
19041,7809,7592,217
19089,2142,1983,159
19053,2829,2711,118
19139,16976,12265,4711
19037,2966,2650,316
19137,3524,2969,555
19195,1646,1645,1
19185,3164,2797,367
19019,6053,5757,296
19009,2028,1927,101
19175,4705,4440,265
19067,6899,5920,979
19051,4704,3055,1649
19047,7127,5566,1561
19093,1985,1507,478
19131,4287,4158,129
19115,4590,3074,1516
19071,1634,1540,94
19107,1630,1530,100
19001,2373,2049,324
19159,1967,1963,4
19143,1593,1435,158
