ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19155,44393,39653,4740
19103,86154,82308,3846
19153,230495,219514,10981
19047,7149,5583,1566
19125,15034,11053,3981
19099,13688,12659,1029
19053,2832,2714,118
19169,46571,44024,2547
19187,16628,15590,1038
19091,4095,3725,370
19129,5096,4957,139
19085,3405,3185,220
19149,9377,6505,2872
19113,117396,109356,8040
19059,7275,7067,208
19163,76585,70908,5677
19181,16379,15496,883
19017,12335,11181,1154
19101,7553,6638,915
19011,7500,7063,437
19013,66366,60590,5776
19057,16795,16128,667
19183,7077,6582,495
19045,16002,14597,1405
19171,8359,7395,964
19127,14642,12017,2625
19049,41203,38996,2207
19007,4402,3946,456
19095,5928,5350,578
19021,9488,6212,3276
19031,6090,5828,262
19079,6884,6488,396
19025,4200,4038,162
19061,57402,55429,1973
19027,9849,8801,1048
19157,8893,8493,400
19041,7830,7609,221
19033,24255,22593,1662
19009,2028,1927,101
19105,6474,5670,804
,5212,5211,1
19077,4235,4001,234
19003,1596,1590,6
19121,6686,6542,144
19019,6071,5775,296
19035,4635,4395,240
19055,5003,4277,726
19001,2373,2049,324
19075,4660,4309,351
19189,4104,3625,479
19065,10403,9524,879
19175,4712,4446,266
19139,17091,12372,4719
19165,5523,5417,106
19015,10710,10203,507
19131,4289,4160,129
19193,43293,38745,4548
19081,3572,2868,704
19029,10054,9655,399
19145,6954,6249,705
19173,2153,2138,15
19137,3544,2988,556
19023,3924,3769,155
19167,11866,9299,2567
19141,5185,4871,314
19135,3194,2927,267
19111,12546,10832,1714
19191,8182,7234,948
19109,5912,5451,461
19179,11531,10932,599
19089,2142,1983,159
19067,6919,5937,982
19197,6034,4375,1659
19147,3283,3143,140
19195,1646,1645,1
19083,7030,5749,1281
19005,5449,5344,105
19097,7749,7512,237
19161,3227,3182,45
19037,2966,2650,316
19039,5166,3833,1333
19069,3484,3257,227
19043,6463,5821,642
19087,8537,6789,1748
19063,4743,4392,351
19123,7334,6863,471
19073,4522,4046,476
19159,1967,1963,4
19151,1935,1791,144
19143,1593,1435,158
19133,2139,1967,172
19093,1985,1507,478
19051,4706,3057,1649
19115,4600,3084,1516
19117,3517,3141,376
19071,1635,1541,94
19107,1630,1530,100
19177,1488,1389,99
19119,2958,2889,69
19185,3170,2800,370
