ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19187,17005,15817,1188
19155,45290,40522,4768
19163,78658,72831,5827
19127,15007,12349,2658
19063,4793,4433,360
19113,120772,112583,8189
19055,5088,4341,747
19047,7241,5668,1573
19013,67884,61998,5886
19085,3449,3215,234
19179,11869,11155,714
19017,12531,11356,1175
19021,9846,6377,3469
19153,237853,226499,11354
19141,5284,4965,319
19079,6987,6588,399
19103,88033,84049,3984
19139,17377,12599,4778
19145,7103,6350,753
19073,4637,4145,492
19057,17086,16407,679
19169,48035,45427,2608
19033,24827,23113,1714
19091,4131,3760,371
19041,7936,7701,235
19061,58274,56260,2014
19037,3015,2689,326
19121,6766,6618,148
19095,6014,5424,590
19161,3232,3187,45
19051,4756,3104,1652
19129,5188,5046,142
19029,10174,9760,414
19149,9488,6602,2886
19027,10093,9031,1062
19135,3291,3017,274
19049,42736,40451,2285
19181,16643,15728,915
19125,15195,11213,3982
19183,7200,6688,512
19043,6495,5851,644
19171,8726,7757,969
19005,5485,5379,106
19175,4779,4508,271
19097,7876,7630,246
19123,7459,6967,492
19019,6165,5862,303
19035,4682,4437,245
19193,44150,39487,4663
19001,2457,2130,327
19197,6163,4496,1667
19099,14042,12980,1062
19195,1668,1667,1
19083,7148,5848,1300
19189,4159,3675,484
19023,3929,3769,160
19009,2037,1936,101
19031,6214,5947,267
19157,9025,8625,400
19065,10464,9580,884
19147,3312,3170,142
19071,1657,1562,95
19131,4334,4199,135
19003,1615,1609,6
19173,2159,2142,17
19045,16313,14866,1447
19067,6994,5999,995
19081,3592,2885,707
19167,12029,9422,2607
19015,10924,10398,526
19165,5582,5472,110
19109,5978,5509,469
19185,3186,2816,370
19191,8370,7397,973
19011,7592,7150,442
19089,2163,1999,164
19093,2008,1524,484
19075,4706,4336,370
19111,12801,11020,1781
19101,7712,6788,924
19117,3594,3218,376
19039,5272,3921,1351
,5212,5211,1
19087,8704,6873,1831
19053,2871,2753,118
19077,4382,4147,235
19115,4619,3102,1517
19059,7384,7163,221
19069,3527,3291,236
19105,6670,5836,834
19151,1961,1817,144
19159,2003,1999,4
19143,1599,1440,159
19133,2196,2012,184
19137,3581,3017,564
19025,4223,4054,169
19007,4466,4003,463
19119,2974,2904,70
19107,1646,1546,100
19177,1496,1394,102
