ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,252032,239782,12250
19021,10173,6617,3556
19027,10426,9331,1095
19049,44429,42008,2421
19181,17322,16358,964
19013,70074,63985,6089
19033,25636,23778,1858
19169,49957,47221,2736
19195,1699,1698,1
19083,7305,5983,1322
19189,4287,3787,500
19155,47234,42398,4836
19139,18121,13233,4888
19009,2090,1989,101
19005,5557,5445,112
19099,14563,13431,1132
19103,91106,86960,4146
19017,13009,11790,1219
19065,10677,9768,909
19061,60122,57996,2126
19041,8207,7944,263
19147,3369,3222,147
19193,45802,41007,4795
19003,1644,1636,8
19173,2189,2169,20
19175,4985,4689,296
19067,7154,6128,1026
19063,4878,4500,378
19035,4782,4518,264
19123,7679,7143,536
19183,7488,6947,541
19179,12409,11543,866
19073,4788,4287,501
19113,125126,116565,8561
19019,6334,6016,318
19101,8038,7082,956
19127,15874,13055,2819
19109,6175,5697,478
19187,17651,16362,1289
19037,3063,2726,337
19011,7773,7312,461
19045,17268,15739,1529
19081,3667,2949,718
19131,4422,4272,150
19029,10344,9916,428
19135,3380,3093,287
19059,7590,7347,243
19159,2045,2040,5
19163,82355,76232,6123
19125,15582,11568,4014
19149,9758,6820,2938
19015,11427,10877,550
19141,5427,5089,338
19091,4207,3827,380
19151,1997,1851,146
19055,5213,4456,757
19031,6317,6037,280
19167,12269,9635,2634
19143,1633,1472,161
19161,3256,3206,50
19069,3629,3385,244
19133,2298,2097,201
19075,4831,4439,392
19171,8985,8001,984
19137,3682,3110,572
19111,13374,11495,1879
19197,6421,4709,1712
19047,7430,5846,1584
19077,4500,4244,256
19093,2028,1537,491
19051,4826,3168,1658
19025,4249,4072,177
19145,7308,6508,800
19057,17919,17206,713
19007,4562,4085,477
19157,9266,8851,415
19191,8789,7784,1005
19023,3938,3773,165
19087,8899,7011,1888
19001,2491,2160,331
19079,7125,6722,403
19095,6169,5554,615
19119,2995,2923,72
19043,6562,5904,658
19117,3681,3285,396
19039,5409,4046,1363
19107,1672,1572,100
19165,5714,5585,129
19185,3228,2852,376
19115,4677,3152,1525
19053,2905,2787,118
19177,1512,1401,111
19121,6881,6727,154
19085,3488,3243,245
,5212,5211,1
19105,6855,5968,887
19097,8050,7792,258
19129,5834,5689,145
19089,2257,2075,182
19071,1677,1579,98
