ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,257472,244523,12949
19021,10309,6736,3573
19027,10537,9424,1113
19049,45162,42700,2462
19181,17533,16529,1004
19013,71384,65227,6157
19033,26050,24116,1934
19169,50595,47791,2804
19195,1715,1714,1
19083,7375,6033,1342
19189,4328,3825,503
19155,47840,42983,4857
19139,18329,13378,4951
19009,2101,2000,101
19005,5608,5493,115
19099,14737,13591,1146
19103,92313,88048,4265
19017,13166,11916,1250
19065,10786,9861,925
19061,60730,58540,2190
19041,8290,7998,292
19147,3401,3250,151
19193,46578,41684,4894
19003,1651,1641,10
19173,2203,2183,20
19175,5061,4750,311
19067,7247,6193,1054
19063,4918,4534,384
19035,4835,4556,279
19123,7785,7215,570
19183,7584,7035,549
19179,12630,11714,916
19073,4833,4327,506
19113,126954,118192,8762
19019,6421,6082,339
19101,8127,7155,972
19127,16224,13336,2888
19109,6282,5793,489
19187,17819,16490,1329
19037,3098,2755,343
19011,7833,7369,464
19045,17577,15993,1584
19081,3684,2965,719
19131,4466,4310,156
19029,10417,9988,429
19135,3428,3131,297
19059,7669,7414,255
19159,2056,2050,6
19163,83659,77410,6249
19125,15726,11694,4032
19149,9859,6898,2961
19015,11548,10974,574
19141,5505,5155,350
19091,4239,3850,389
19151,2019,1867,152
19055,5289,4517,772
19031,6374,6093,281
19167,12409,9746,2663
19143,1656,1479,177
19161,3256,3206,50
19069,3660,3409,251
19133,2312,2102,210
19075,4866,4466,400
19171,9035,8051,984
19137,3721,3142,579
19111,13552,11620,1932
19197,6465,4747,1718
19047,7523,5932,1591
19077,4542,4278,264
19093,2075,1575,500
19051,4806,3147,1659
19025,4262,4080,182
19145,7401,6556,845
19057,18139,17420,719
19007,4592,4114,478
19157,9373,8943,430
19191,8948,7902,1046
19023,3963,3789,174
19087,9036,7102,1934
19001,2500,2168,332
19079,7188,6779,409
19095,6209,5591,618
19119,3010,2933,77
19043,6591,5927,664
19117,3722,3323,399
19039,5469,4104,1365
19107,1684,1584,100
19165,5771,5631,140
19185,3251,2869,382
19115,4694,3162,1532
19053,2929,2806,123
19177,1517,1404,113
19121,6931,6770,161
19085,3511,3260,251
,5212,5211,1
19105,6946,6046,900
19097,8128,7869,259
19129,5888,5738,150
19089,2314,2128,186
19071,1691,1593,98
