ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,257936,244931,13005
19021,10336,6747,3589
19027,10554,9438,1116
19049,45222,42748,2474
19181,17557,16542,1015
19013,71478,65306,6172
19033,26177,24222,1955
19169,50650,47840,2810
19195,1715,1714,1
19083,7378,6034,1344
19189,4334,3830,504
19155,47920,43055,4865
19139,18367,13403,4964
19009,2101,2000,101
19005,5611,5494,117
19099,14750,13599,1151
19103,92429,88157,4272
19017,13200,11942,1258
19065,10796,9869,927
19061,60792,58590,2202
19041,8310,8016,294
19147,3401,3250,151
19193,46683,41769,4914
19003,1652,1642,10
19173,2205,2184,21
19175,5065,4753,312
19067,7261,6198,1063
19063,4921,4537,384
19035,4845,4561,284
19123,7795,7223,572
19183,7590,7040,550
19179,12659,11732,927
19073,4839,4331,508
19113,127118,118330,8788
19019,6433,6094,339
19101,8138,7164,974
19127,16253,13357,2896
19109,6292,5797,495
19187,17870,16524,1346
19037,3098,2755,343
19011,7837,7373,464
19045,17613,16024,1589
19081,3684,2965,719
19131,4467,4311,156
19029,10428,9999,429
19135,3432,3133,299
19059,7673,7418,255
19159,2064,2058,6
19163,83766,77499,6267
19125,15745,11708,4037
19149,9877,6907,2970
19015,11555,10980,575
19141,5510,5159,351
19091,4250,3855,395
19151,2019,1867,152
19055,5299,4524,775
19031,6382,6101,281
19167,12427,9755,2672
19143,1661,1484,177
19161,3262,3211,51
19069,3666,3414,252
19133,2313,2102,211
19075,4873,4469,404
19171,9036,8052,984
19137,3725,3146,579
19111,13574,11631,1943
19197,6467,4749,1718
19047,7532,5940,1592
19077,4549,4282,267
19093,2077,1575,502
19051,4811,3148,1663
19025,4263,4081,182
19145,7406,6561,845
19057,18159,17440,719
19007,4596,4116,480
19157,9387,8956,431
19191,8963,7908,1055
19023,3967,3790,177
19087,9038,7103,1935
19001,2505,2172,333
19079,7190,6781,409
19095,6219,5598,621
19119,3012,2935,77
19043,6591,5927,664
19117,3727,3324,403
19039,5475,4110,1365
19107,1684,1584,100
19165,5776,5635,141
19185,3251,2869,382
19115,4694,3162,1532
19053,2930,2807,123
19177,1526,1407,119
19121,6931,6770,161
19085,3521,3266,255
,5211,5210,1
19105,6962,6058,904
19097,8133,7874,259
19129,5890,5740,150
19089,2314,2128,186
19071,1691,1593,98
