ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,258359,245316,13043
19021,10345,6756,3589
19027,10569,9453,1116
19049,45280,42798,2482
19181,17584,16564,1020
19013,71565,65390,6175
19033,26197,24237,1960
19169,50711,47894,2817
19195,1715,1714,1
19083,7382,6037,1345
19189,4336,3831,505
19155,47981,43115,4866
19139,18392,13424,4968
19009,2101,2000,101
19005,5615,5497,118
19099,14779,13628,1151
19103,92520,88246,4274
19017,13224,11961,1263
19065,10801,9873,928
19061,60835,58630,2205
19041,8315,8021,294
19147,3404,3252,152
19193,46761,41834,4927
19003,1652,1642,10
19173,2207,2186,21
19175,5067,4755,312
19067,7269,6201,1068
19063,4927,4543,384
19035,4846,4561,285
19123,7801,7229,572
19183,7596,7046,550
19179,12695,11757,938
19073,4839,4331,508
19113,127299,118482,8817
19019,6440,6101,339
19101,8150,7176,974
19127,16270,13368,2902
19109,6296,5801,495
19187,17884,16538,1346
19037,3098,2755,343
19011,7841,7377,464
19045,17646,16052,1594
19081,3685,2966,719
19131,4470,4312,158
19029,10433,10002,431
19135,3435,3134,301
19059,7679,7424,255
19159,2065,2059,6
19163,83871,77600,6271
19125,15754,11715,4039
19149,9880,6909,2971
19015,11560,10985,575
19141,5515,5164,351
19091,4256,3861,395
19151,2021,1867,154
19055,5308,4532,776
19031,6385,6104,281
19167,12438,9762,2676
19143,1661,1484,177
19161,3262,3211,51
19069,3670,3416,254
19133,2315,2103,212
19075,4876,4469,407
19171,9036,8052,984
19137,3726,3147,579
19111,13593,11645,1948
19197,6470,4752,1718
19047,7532,5940,1592
19077,4554,4284,270
19093,2077,1575,502
19051,4816,3149,1667
19025,4263,4081,182
19145,7411,6566,845
19057,18185,17465,720
19007,4597,4117,480
19157,9392,8961,431
19191,8969,7911,1058
19023,3969,3792,177
19087,9041,7104,1937
19001,2505,2172,333
19079,7195,6786,409
19095,6222,5601,621
19119,3012,2935,77
19043,6591,5927,664
19117,3735,3331,404
19039,5480,4115,1365
19107,1685,1585,100
19165,5778,5637,141
19185,3251,2869,382
19115,4696,3163,1533
19053,2938,2815,123
19177,1526,1407,119
19121,6933,6772,161
19085,3521,3266,255
,5211,5210,1
19105,6967,6062,905
19097,8135,7875,260
19129,5891,5741,150
19089,2314,2128,186
19071,1692,1594,98
