ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,260256,247067,13189
19021,10418,6827,3591
19027,10609,9484,1125
19049,45597,43088,2509
19181,17657,16620,1037
19013,71951,65742,6209
19033,26341,24358,1983
19169,50999,48148,2851
19195,1720,1719,1
19083,7414,6067,1347
19189,4353,3847,506
19155,48240,43371,4869
19139,18488,13493,4995
19009,2101,2000,101
19005,5628,5510,118
19099,14854,13696,1158
19103,92919,88611,4308
19017,13286,12011,1275
19065,10826,9892,934
19061,61053,58825,2228
19041,8349,8050,299
19147,3424,3269,155
19193,47090,42148,4942
19003,1657,1647,10
19173,2210,2188,22
19175,5104,4786,318
19067,7302,6220,1082
19063,4938,4553,385
19035,4863,4575,288
19123,7837,7264,573
19183,7628,7077,551
19179,12791,11832,959
19073,4850,4341,509
19113,127921,119020,8901
19019,6470,6128,342
19101,8195,7216,979
19127,16445,13493,2952
19109,6322,5823,499
19187,17968,16619,1349
19037,3106,2761,345
19011,7865,7401,464
19045,17755,16157,1598
19081,3695,2974,721
19131,4509,4344,165
19029,10465,10033,432
19135,3453,3147,306
19059,7714,7459,255
19159,2067,2061,6
19163,84299,77987,6312
19125,15815,11769,4046
19149,9908,6931,2977
19015,11607,11030,577
19141,5545,5188,357
19091,4274,3874,400
19151,2028,1870,158
19055,5323,4543,780
19031,6413,6124,289
19167,12490,9808,2682
19143,1674,1493,181
19161,3267,3215,52
19069,3674,3419,255
19133,2324,2107,217
19075,4887,4476,411
19171,9048,8064,984
19137,3746,3165,581
19111,13712,11752,1960
19197,6484,4762,1722
19047,7568,5976,1592
19077,4573,4298,275
19093,2082,1576,506
19051,4826,3159,1667
19025,4268,4081,187
19145,7446,6598,848
19057,18294,17569,725
19007,4618,4135,483
19157,9430,8999,431
19191,9042,7980,1062
19023,3970,3793,177
19087,9079,7134,1945
19001,2514,2181,333
19079,7226,6815,411
19095,6235,5614,621
19119,3025,2947,78
19043,6595,5928,667
19117,3758,3345,413
19039,5508,4141,1367
19107,1694,1594,100
19165,5806,5661,145
19185,3261,2876,385
19115,4705,3171,1534
19053,2944,2821,123
19177,1526,1407,119
19121,6951,6789,162
19085,3523,3268,255
,5212,5211,1
19105,6994,6088,906
19097,8163,7903,260
19129,5920,5770,150
19089,2324,2135,189
19071,1695,1597,98
