ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,260575,247353,13222
19021,10430,6839,3591
19027,10620,9492,1128
19049,45646,43128,2518
19181,17671,16631,1040
19013,72040,65827,6213
19033,26362,24376,1986
19169,51052,48193,2859
19195,1724,1723,1
19083,7416,6069,1347
19189,4357,3851,506
19155,48313,43429,4884
19139,18492,13495,4997
19009,2101,2000,101
19005,5635,5517,118
19099,14871,13713,1158
19103,92960,88644,4316
19017,13296,12021,1275
19065,10830,9896,934
19061,61109,58869,2240
19041,8354,8052,302
19147,3425,3269,156
19193,47139,42189,4950
19003,1657,1647,10
19173,2210,2188,22
19175,5108,4789,319
19067,7307,6220,1087
19063,4939,4554,385
19035,4869,4580,289
19123,7839,7264,575
19183,7633,7080,553
19179,12808,11849,959
19073,4850,4341,509
19113,128019,119096,8923
19019,6473,6130,343
19101,8203,7224,979
19127,16466,13512,2954
19109,6322,5823,499
19187,17971,16618,1353
19037,3106,2761,345
19011,7878,7414,464
19045,17794,16196,1598
19081,3697,2976,721
19131,4511,4345,166
19029,10466,10034,432
19135,3453,3147,306
19059,7721,7463,258
19159,2067,2061,6
19163,84438,78117,6321
19125,15819,11776,4043
19149,9918,6940,2978
19015,11609,11032,577
19141,5551,5193,358
19091,4274,3874,400
19151,2028,1870,158
19055,5324,4543,781
19031,6417,6128,289
19167,12513,9819,2694
19143,1674,1493,181
19161,3266,3214,52
19069,3675,3420,255
19133,2324,2107,217
19075,4895,4483,412
19171,9049,8065,984
19137,3746,3164,582
19111,13720,11758,1962
19197,6484,4762,1722
19047,7569,5978,1591
19077,4578,4300,278
19093,2082,1576,506
19051,4839,3172,1667
19025,4268,4081,187
19145,7448,6600,848
19057,18301,17576,725
19007,4619,4136,483
19157,9430,8999,431
19191,9044,7982,1062
19023,3970,3793,177
19087,9089,7141,1948
19001,2514,2181,333
19079,7230,6819,411
19095,6241,5618,623
19119,3030,2951,79
19043,6599,5931,668
19117,3760,3345,415
19039,5508,4143,1365
19107,1694,1594,100
19165,5810,5664,146
19185,3263,2876,387
19115,4707,3172,1535
19053,2945,2822,123
19177,1534,1409,125
19121,6951,6789,162
19085,3523,3268,255
,5212,5211,1
19105,6999,6088,911
19097,8170,7910,260
19129,5920,5770,150
19089,2325,2136,189
19071,1696,1598,98
