ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,261372,248071,13301
19021,10485,6886,3599
19027,10638,9506,1132
19049,45753,43226,2527
19181,17688,16645,1043
19013,72219,65985,6234
19033,26436,24440,1996
19169,51180,48290,2890
19195,1724,1723,1
19083,7424,6077,1347
19189,4360,3854,506
19155,48423,43523,4900
19139,18534,13530,5004
19009,2101,2000,101
19005,5639,5520,119
19099,14918,13757,1161
19103,93097,88779,4318
19017,13338,12055,1283
19065,10848,9911,937
19061,61218,58969,2249
19041,8372,8063,309
19147,3432,3272,160
19193,47282,42313,4969
19003,1657,1647,10
19173,2220,2196,24
19175,5123,4804,319
19067,7330,6235,1095
19063,4944,4558,386
19035,4888,4595,293
19123,7868,7293,575
19183,7657,7103,554
19179,12840,11879,961
19073,4859,4347,512
19113,128331,119362,8969
19019,6479,6136,343
19101,8229,7247,982
19127,16549,13579,2970
19109,6339,5839,500
19187,18012,16654,1358
19037,3107,2762,345
19011,7891,7426,465
19045,17845,16240,1605
19081,3701,2983,718
19131,4522,4355,167
19029,10478,10040,438
19135,3460,3154,306
19059,7744,7484,260
19159,2070,2064,6
19163,84662,78302,6360
19125,15835,11792,4043
19149,9928,6948,2980
19015,11673,11096,577
19141,5552,5194,358
19091,4276,3875,401
19151,2037,1878,159
19055,5335,4553,782
19031,6425,6135,290
19167,12533,9834,2699
19143,1674,1493,181
19161,3267,3215,52
19069,3677,3421,256
19133,2325,2107,218
19075,4917,4490,427
19171,9072,8088,984
19137,3757,3173,584
19111,13761,11781,1980
19197,6495,4768,1727
19047,7578,5987,1591
19077,4588,4309,279
19093,2087,1581,506
19051,4841,3174,1667
19025,4269,4082,187
19145,7466,6616,850
19057,18351,17623,728
19007,4626,4143,483
19157,9458,9018,440
19191,9054,7992,1062
19023,3970,3793,177
19087,9110,7153,1957
19001,2515,2182,333
19079,7244,6833,411
19095,6252,5628,624
19119,3034,2955,79
19043,6601,5932,669
19117,3778,3356,422
19039,5513,4148,1365
19107,1696,1596,100
19165,5820,5673,147
19185,3268,2879,389
19115,4714,3175,1539
19053,2946,2823,123
19177,1536,1410,126
19121,6962,6800,162
19085,3525,3268,257
,5212,5211,1
19105,7007,6096,911
19097,8186,7923,263
19129,5930,5780,150
19089,2327,2138,189
19071,1698,1600,98
