ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,261762,248432,13330
19021,10499,6898,3601
19027,10648,9513,1135
19049,45813,43276,2537
19181,17713,16664,1049
19013,72337,66087,6250
19033,26467,24466,2001
19169,51239,48338,2901
19195,1725,1724,1
19083,7425,6078,1347
19189,4364,3857,507
19155,48466,43558,4908
19139,18571,13560,5011
19009,2101,2000,101
19005,5642,5523,119
19099,14930,13769,1161
19103,93180,88849,4331
19017,13356,12070,1286
19065,10851,9913,938
19061,61265,59015,2250
19041,8382,8072,310
19147,3433,3272,161
19193,47338,42365,4973
19003,1658,1648,10
19173,2221,2197,24
19175,5125,4805,320
19067,7348,6243,1105
19063,4951,4565,386
19035,4890,4597,293
19123,7875,7299,576
19183,7662,7108,554
19179,12873,11896,977
19073,4861,4349,512
19113,128477,119489,8988
19019,6483,6140,343
19101,8236,7253,983
19127,16569,13592,2977
19109,6346,5844,502
19187,18045,16678,1367
19037,3109,2763,346
19011,7893,7428,465
19045,17874,16261,1613
19081,3703,2984,719
19131,4526,4356,170
19029,10477,10039,438
19135,3460,3154,306
19059,7750,7490,260
19159,2070,2064,6
19163,84757,78384,6373
19125,15849,11806,4043
19149,9939,6956,2983
19015,11702,11122,580
19141,5567,5207,360
19091,4286,3880,406
19151,2038,1879,159
19055,5338,4556,782
19031,6426,6136,290
19167,12543,9843,2700
19143,1676,1495,181
19161,3267,3215,52
19069,3681,3423,258
19133,2326,2108,218
19075,4920,4492,428
19171,9076,8092,984
19137,3758,3174,584
19111,13770,11788,1982
19197,6503,4772,1731
19047,7583,5993,1590
19077,4594,4315,279
19093,2088,1582,506
19051,4842,3175,1667
19025,4274,4084,190
19145,7471,6621,850
19057,18368,17640,728
19007,4626,4143,483
19157,9462,9022,440
19191,9081,8018,1063
19023,3972,3795,177
19087,9121,7163,1958
19001,2518,2184,334
19079,7250,6839,411
19095,6258,5631,627
19119,3034,2955,79
19043,6604,5935,669
19117,3782,3358,424
19039,5516,4151,1365
19107,1696,1596,100
19165,5827,5678,149
19185,3270,2881,389
19115,4716,3177,1539
19053,2947,2824,123
19177,1536,1410,126
19121,6966,6804,162
19085,3525,3268,257
,5212,5211,1
19105,7015,6100,915
19097,8191,7928,263
19129,5939,5787,152
19089,2327,2138,189
19071,1698,1600,98
