ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,262978,249321,13657
19021,10528,6927,3601
19027,10686,9546,1140
19049,46006,43436,2570
19181,17798,16734,1064
19013,72574,66302,6272
19033,26551,24528,2023
19169,51378,48446,2932
19195,1725,1724,1
19083,7434,6087,1347
19189,4379,3868,511
19155,48621,43686,4935
19139,18641,13605,5036
19009,2101,2000,101
19005,5655,5536,119
19099,14982,13811,1171
19103,93417,89065,4352
19017,13389,12092,1297
19065,10880,9938,942
19061,61395,59137,2258
19041,8407,8095,312
19147,3437,3276,161
19193,47514,42515,4999
19003,1662,1652,10
19173,2221,2197,24
19175,5145,4818,327
19067,7385,6257,1128
19063,4958,4571,387
19035,4912,4611,301
19123,7904,7316,588
19183,7691,7135,556
19179,12927,11940,987
19073,4867,4352,515
19113,128847,119805,9042
19019,6496,6152,344
19101,8267,7277,990
19127,16636,13650,2986
19109,6372,5869,503
19187,18110,16732,1378
19037,3124,2773,351
19011,7900,7434,466
19045,17956,16333,1623
19081,3709,2987,722
19131,4537,4367,170
19029,10500,10062,438
19135,3465,3159,306
19059,7775,7515,260
19159,2078,2072,6
19163,85091,78677,6414
19125,15894,11851,4043
19149,9972,6979,2993
19015,11731,11148,583
19141,5577,5215,362
19091,4297,3886,411
19151,2040,1879,161
19055,5346,4563,783
19031,6435,6144,291
19167,12584,9871,2713
19143,1682,1498,184
19161,3270,3216,54
19069,3696,3435,261
19133,2330,2111,219
19075,4937,4505,432
19171,9094,8110,984
19137,3770,3184,586
19111,13852,11835,2017
19197,6520,4780,1740
19047,7606,6014,1592
19077,4598,4319,279
19093,2091,1582,509
19051,4855,3185,1670
19025,4274,4084,190
19145,7498,6647,851
19057,18440,17709,731
19007,4639,4152,487
19157,9489,9046,443
19191,9105,8042,1063
19023,3976,3798,178
19087,9150,7187,1963
19001,2525,2190,335
19079,7257,6846,411
19095,6263,5634,629
19119,3035,2956,79
19043,6606,5937,669
19117,3795,3370,425
19039,5524,4159,1365
19107,1696,1596,100
19165,5842,5693,149
19185,3279,2885,394
19115,4728,3182,1546
19053,2953,2830,123
19177,1536,1410,126
19121,6983,6816,167
19085,3534,3277,257
,5212,5211,1
19105,7043,6110,933
19097,8207,7943,264
19129,5950,5795,155
19089,2332,2143,189
19071,1698,1600,98
