ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,263332,249615,13717
19021,10534,6930,3604
19027,10695,9552,1143
19049,46070,43490,2580
19181,17820,16747,1073
19013,72637,66363,6274
19033,26575,24548,2027
19169,51436,48492,2944
19195,1725,1724,1
19083,7436,6089,1347
19189,4382,3871,511
19155,48678,43739,4939
19139,18672,13621,5051
19009,2101,2000,101
19005,5656,5537,119
19099,14986,13815,1171
19103,93479,89124,4355
19017,13403,12106,1297
19065,10881,9939,942
19061,61433,59172,2261
19041,8414,8102,312
19147,3438,3276,162
19193,47577,42574,5003
19003,1663,1653,10
19173,2221,2197,24
19175,5148,4821,327
19067,7389,6259,1130
19063,4962,4575,387
19035,4915,4613,302
19123,7911,7322,589
19183,7699,7140,559
19179,12941,11947,994
19073,4870,4355,515
19113,128962,119906,9056
19019,6501,6157,344
19101,8277,7282,995
19127,16661,13668,2993
19109,6377,5874,503
19187,18128,16748,1380
19037,3125,2774,351
19011,7912,7444,468
19045,17986,16359,1627
19081,3709,2987,722
19131,4541,4368,173
19029,10509,10069,440
19135,3468,3161,307
19059,7781,7521,260
19159,2079,2073,6
19163,85192,78770,6422
19125,15904,11861,4043
19149,9977,6984,2993
19015,11736,11153,583
19141,5580,5218,362
19091,4300,3889,411
19151,2044,1881,163
19055,5348,4565,783
19031,6440,6149,291
19167,12597,9883,2714
19143,1683,1498,185
19161,3270,3216,54
19069,3699,3438,261
19133,2331,2111,220
19075,4939,4505,434
19171,9095,8111,984
19137,3771,3185,586
19111,13878,11849,2029
19197,6527,4784,1743
19047,7606,6014,1592
19077,4604,4322,282
19093,2093,1582,511
19051,4860,3187,1673
19025,4274,4084,190
19145,7509,6656,853
19057,18452,17721,731
19007,4643,4156,487
19157,9496,9053,443
19191,9112,8049,1063
19023,3978,3800,178
19087,9164,7195,1969
19001,2527,2190,337
19079,7261,6850,411
19095,6266,5637,629
19119,3037,2958,79
19043,6611,5942,669
19117,3802,3374,428
19039,5528,4163,1365
19107,1696,1596,100
19165,5842,5693,149
19185,3283,2889,394
19115,4740,3194,1546
19053,2959,2836,123
19177,1549,1420,129
19121,6988,6819,169
19085,3534,3277,257
,5211,5210,1
19105,7052,6116,936
19097,8211,7947,264
19129,5957,5802,155
19089,2332,2143,189
19071,1699,1601,98
