ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,269538,254757,14781
19021,10743,7111,3632
19027,10937,9727,1210
19049,47123,44313,2810
19181,18070,16950,1120
19013,74010,67642,6368
19033,27074,25013,2061
19169,52340,49199,3141
19195,1740,1739,1
19083,7501,6153,1348
19189,4456,3943,513
19081,3749,3009,740
19155,49522,44542,4980
19139,19056,13886,5170
19009,2127,2026,101
19005,5755,5629,126
19099,15196,14002,1194
19103,94764,90226,4538
19017,13710,12321,1389
19065,11015,10057,958
19061,62437,60090,2347
19041,8540,8227,313
19063,5033,4627,406
19147,3482,3317,165
19193,48727,43674,5053
19003,1675,1660,15
19173,2256,2226,30
19175,5266,4920,346
19067,7550,6337,1213
19035,5037,4675,362
19123,8062,7473,589
19183,7867,7276,591
19179,13195,12159,1036
19073,4927,4405,522
19113,131258,121772,9486
19019,6620,6264,356
19101,8426,7423,1003
19127,17122,13949,3173
19109,6472,5955,517
19187,18550,17122,1428
19037,3166,2804,362
19011,8044,7566,478
19141,5677,5288,389
19045,18442,16744,1698
19131,4607,4426,181
19029,10632,10168,464
19135,3554,3198,356
19059,7910,7630,280
19159,2102,2096,6
19163,86783,80166,6617
19125,16193,12071,4122
19149,10092,7097,2995
19015,11912,11309,603
19091,4366,3934,432
19151,2079,1901,178
19055,5431,4610,821
19031,6524,6226,298
19167,12814,10035,2779
19143,1705,1514,191
19161,3283,3219,64
19069,3732,3463,269
19133,2371,2142,229
19075,5046,4550,496
19171,9151,8167,984
19137,3859,3260,599
19111,14209,12078,2131
19197,6692,4903,1789
19047,7728,6120,1608
19077,4667,4357,310
19093,2118,1591,527
19051,4920,3234,1686
19025,4299,4091,208
19145,7619,6764,855
19057,18949,18186,763
19007,4714,4208,506
19157,9609,9151,458
19191,9274,8205,1069
19023,4002,3812,190
19087,9348,7330,2018
19053,2985,2857,128
19001,2547,2203,344
19079,7341,6923,418
19095,6323,5674,649
19119,3093,2989,104
19043,6648,5979,669
19117,3846,3406,440
19039,5632,4245,1387
19107,1701,1601,100
19165,5956,5789,167
19185,3307,2902,405
19115,4768,3217,1551
19121,7088,6906,182
19177,1551,1420,131
19085,3566,3297,269
,5211,5210,1
19105,7174,6190,984
19097,8337,8043,294
19129,6029,5863,166
19089,2391,2171,220
19071,1705,1607,98
