ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,275522,260033,15489
19059,8087,7798,289
19021,11213,7355,3858
19027,11180,9923,1257
19049,48150,45328,2822
19181,18411,17266,1145
19013,75304,68895,6409
19033,27688,25568,2120
19169,53240,50001,3239
19195,1757,1756,1
19083,7620,6269,1351
19189,4540,4027,513
19081,3774,3031,743
19155,50561,45565,4996
19139,19538,14286,5252
19009,2131,2030,101
19005,5865,5737,128
19099,15431,14211,1220
19103,96146,91509,4637
19017,14127,12645,1482
19065,11152,10192,960
19061,63485,61061,2424
19041,8672,8359,313
19063,5095,4677,418
19147,3536,3362,174
19193,49938,44866,5072
19003,1693,1673,20
19173,2288,2251,37
19175,5377,5021,356
19067,7760,6539,1221
19035,5120,4748,372
19123,8210,7621,589
19183,8024,7428,596
19179,13479,12428,1051
19073,4974,4449,525
19113,134181,124531,9650
19019,6825,6448,377
19101,8561,7558,1003
19127,17534,14279,3255
19109,6552,6023,529
19187,18999,17564,1435
19037,3191,2829,362
19011,8125,7638,487
19141,5758,5345,413
19045,18837,17125,1712
19131,4686,4492,194
19029,10755,10282,473
19135,3625,3252,373
19159,2144,2138,6
19163,88502,81721,6781
19125,16473,12313,4160
19149,10230,7235,2995
19015,12112,11501,611
19091,4420,3984,436
19151,2096,1917,179
19055,5603,4781,822
19031,6615,6314,301
19167,12997,10209,2788
19143,1725,1521,204
19161,3306,3236,70
19069,3805,3524,281
19133,2405,2174,231
19075,5217,4706,511
19171,9206,8221,985
19137,3944,3338,606
19111,14621,12419,2202
19197,6804,4986,1818
19047,7869,6261,1608
19077,4740,4417,323
19093,2148,1610,538
19051,4988,3288,1700
19025,4314,4093,221
19145,7764,6909,855
19057,19447,18651,796
19007,4781,4265,516
19157,9770,9283,487
19191,9450,8379,1071
19023,4020,3827,193
19087,9578,7494,2084
19053,3042,2905,137
19097,8488,8185,303
19001,2568,2224,344
19079,7462,7036,426
19039,5738,4351,1387
19095,6393,5739,654
19119,3135,3019,116
19043,6680,6011,669
19085,3585,3314,271
19117,3881,3440,441
19107,1720,1620,100
19165,6075,5886,189
19185,3339,2930,409
19115,4816,3243,1573
19121,7194,7005,189
19177,1551,1420,131
,5211,5210,1
19105,7309,6316,993
19129,6131,5951,180
19089,2449,2220,229
19071,1717,1619,98
