ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,278625,263009,15616
19059,8152,7863,289
19021,11340,7470,3870
19027,11322,10042,1280
19049,48679,45859,2820
19181,18627,17462,1165
19013,76119,69699,6420
19033,27967,25828,2139
19169,53746,50455,3291
19195,1773,1772,1
19083,7683,6332,1351
19189,4579,4066,513
19081,3801,3052,749
19155,51202,46186,5016
19139,19761,14460,5301
19009,2146,2045,101
19005,5921,5792,129
19099,15551,14331,1220
19103,96812,92129,4683
19017,14275,12780,1495
19065,11202,10242,960
19061,64009,61566,2443
19041,8735,8421,314
19063,5125,4701,424
19147,3568,3389,179
19193,50576,45499,5077
19003,1698,1676,22
19173,2306,2269,37
19175,5421,5065,356
19067,7835,6604,1231
19035,5175,4801,374
19123,8290,7701,589
19183,8099,7501,598
19179,13650,12591,1059
19073,5004,4479,525
19113,135312,125622,9690
19019,6915,6533,382
19101,8636,7633,1003
19127,17746,14487,3259
19109,6602,6068,534
19187,19200,17766,1434
19037,3208,2846,362
19011,8206,7714,492
19141,5830,5405,425
19045,19046,17314,1732
19131,4710,4514,196
19029,10821,10348,473
19135,3647,3269,378
19159,2171,2165,6
19163,89390,82548,6842
19125,16662,12475,4187
19149,10324,7329,2995
19015,12190,11573,617
19091,4466,4030,436
19151,2125,1943,182
19055,5631,4809,822
19031,6654,6353,301
19167,13120,10332,2788
19143,1744,1540,204
19161,3320,3244,76
19069,3851,3565,286
19133,2418,2184,234
19075,5259,4745,514
19171,9309,8324,985
19137,3994,3388,606
19111,14818,12598,2220
19197,6858,5029,1829
19047,7955,6346,1609
19077,4781,4454,327
19093,2164,1621,543
19051,5024,3324,1700
19025,4340,4112,228
19145,7851,6994,857
19057,19696,18894,802
19007,4835,4315,520
19157,9838,9351,487
19191,9547,8476,1071
19023,4030,3837,193
19087,9746,7612,2134
19053,3055,2917,138
19097,8590,8287,303
19001,2591,2247,344
19079,7504,7078,426
19039,5796,4409,1387
19095,6427,5764,663
19119,3156,3032,124
19043,6715,6047,668
19085,3627,3355,272
19117,3910,3468,442
19107,1725,1625,100
19165,6133,5938,195
19185,3361,2947,414
19115,4838,3255,1583
19121,7242,7049,193
19177,1579,1430,149
,5211,5210,1
19105,7361,6368,993
19129,6463,6279,184
19089,2479,2233,246
19071,1726,1628,98
