ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,280082,264374,15708
19059,8185,7893,292
19021,11423,7553,3870
19027,11371,10081,1290
19049,48939,46119,2820
19181,18689,17524,1165
19013,76434,70011,6423
19033,28116,25965,2151
19169,54060,50759,3301
19195,1773,1772,1
19083,7711,6360,1351
19189,4604,4091,513
19081,3816,3061,755
19155,51422,46401,5021
19139,19817,14510,5307
19009,2155,2054,101
19005,5939,5810,129
19099,15591,14368,1223
19103,97071,92388,4683
19017,14339,12835,1504
19065,11248,10288,960
19061,64186,61742,2444
19041,8755,8441,314
19063,5153,4724,429
19147,3573,3394,179
19193,50835,45756,5079
19003,1708,1685,23
19173,2314,2274,40
19175,5459,5103,356
19067,7860,6626,1234
19035,5192,4818,374
19123,8343,7754,589
19183,8135,7537,598
19179,13731,12672,1059
19073,5026,4501,525
19113,135798,126089,9709
19019,6943,6560,383
19101,8659,7656,1003
19127,17812,14554,3258
19109,6627,6092,535
19187,19267,17832,1435
19037,3230,2868,362
19011,8219,7727,492
19141,5861,5431,430
19045,19162,17424,1738
19131,4742,4542,200
19029,10849,10376,473
19135,3655,3277,378
19159,2173,2167,6
19163,89744,82879,6865
19125,16729,12542,4187
19149,10353,7358,2995
19015,12221,11603,618
19091,4480,4044,436
19151,2128,1946,182
19055,5690,4868,822
19031,6675,6371,304
19167,13162,10374,2788
19143,1744,1540,204
19161,3320,3244,76
19069,3855,3568,287
19133,2429,2195,234
19075,5272,4754,518
19171,9341,8356,985
19137,4031,3425,606
19111,14883,12654,2229
19197,6882,5048,1834
19047,7996,6387,1609
19077,4813,4481,332
19093,2171,1628,543
19051,5040,3340,1700
19025,4352,4123,229
19145,7876,7019,857
19057,19779,18975,804
19007,4864,4341,523
19157,9864,9377,487
19191,9591,8520,1071
19023,4033,3840,193
19087,9796,7650,2146
19053,3060,2922,138
19097,8617,8314,303
19001,2594,2250,344
19079,7536,7103,433
19039,5826,4436,1390
19095,6437,5774,663
19119,3164,3036,128
19043,6728,6060,668
19085,3654,3381,273
19117,3919,3476,443
19107,1733,1633,100
19165,6150,5953,197
19185,3366,2948,418
19115,4849,3262,1587
19121,7267,7074,193
19177,1583,1431,152
,5331,5330,1
19105,7375,6382,993
19129,6484,6299,185
19089,2479,2233,246
19071,1726,1628,98
