RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19013,41501,37550,3951
19103,55972,52498,3474
19065,6706,6278,428
19167,8582,7205,1377
19181,13962,13276,686
19007,3558,3267,291
19113,73084,66665,6419
19163,47459,44100,3359
19151,2056,1892,164
19019,6655,6224,431
19153,134576,126924,7652
19101,4970,4460,510
19017,8793,7979,814
19037,3902,3372,530
19161,3219,2988,231
19159,1588,1563,25
19075,4370,4089,281
19131,3312,3261,51
19145,4539,4168,371
19025,3393,3197,196
19023,5023,4757,266
19179,9185,7314,1871
19139,13007,9873,3134
19193,27640,24755,2885
19061,35539,34509,1030
19091,3159,2871,288
19043,5656,5203,453
19169,27031,25633,1398
19033,14557,13516,1041
19171,5605,4920,685
19011,7954,7249,705
19049,25817,24281,1536
19045,12395,11440,955
19183,6628,6153,475
19155,24507,22820,1687
19031,6121,5639,482
19029,4474,4254,220
19069,3261,3008,253
19143,1684,1548,136
19001,2131,1922,209
19173,1887,1851,36
19027,7880,7121,759
19197,4373,3642,731
19177,1656,1530,126
19083,5560,4881,679
19087,4931,4539,392
19059,5962,5819,143
19099,10087,9289,798
19067,4626,4387,239
19175,3388,3277,111
19157,5390,5128,262
19057,10650,10077,573
19015,8586,8195,391
19125,9601,7841,1760
19165,3802,3662,140
19121,4340,4159,181
19005,4250,4135,115
19051,1969,1888,81
19149,8098,6270,1828
19123,5017,4475,542
19137,3216,2791,425
19079,5238,4717,521
19085,3883,3616,267
19041,4858,4633,225
19129,3867,3668,199
19053,1948,1779,169
19119,2588,2470,118
19047,5064,3922,1142
19133,2784,2652,132
19063,2875,2646,229
19187,11195,10340,855
19073,2952,2614,338
19111,8629,7779,850
19191,6944,6383,561
19077,3482,3266,216
19035,3758,3474,284
19081,3102,2794,308
19055,5222,4564,658
19071,1854,1707,147
19135,2090,1866,224
19147,2798,2660,138
19109,4900,4497,403
19127,11589,9455,2134
19189,3227,2783,444
19115,3171,2281,890
19105,6349,5640,709
19141,4437,4043,394
19117,2125,1845,280
19009,2058,1953,105
19107,2706,2492,214
19021,7074,4503,2571
19093,1996,1729,267
19039,2872,2284,588
19095,5285,4802,483
19097,5773,5549,224
19185,1644,1517,127
19195,2143,2025,118
19003,1174,1146,28
19089,2714,2398,316
,31,25,6
