RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19113,83301,76706,6595
19153,160262,152096,8166
19103,65714,62036,3678
19139,14440,11287,3153
19013,46518,42456,4062
19049,30787,29186,1601
19023,5394,5094,300
19169,32355,30565,1790
19105,6943,6223,720
19055,5953,5260,693
19011,8899,8181,718
19163,53808,50342,3466
19141,4698,4300,398
19031,6782,6289,493
19127,12764,10599,2165
19193,33065,29525,3540
19061,40619,39503,1116
19065,7199,6750,449
19177,1880,1746,134
19095,5872,5375,497
19101,5367,4853,514
19087,5586,5127,459
19019,7171,6729,442
19157,6482,6198,284
19145,4904,4531,373
19125,10341,8536,1805
19071,2031,1884,147
19077,3803,3584,219
19097,6427,6189,238
19165,4595,4445,150
19067,5152,4871,281
19025,3601,3382,219
19093,2219,1902,317
19171,6182,5487,695
19155,26840,25124,1716
19045,13667,12675,992
19181,16158,15403,755
19029,4808,4564,244
19187,12207,11329,878
19099,11267,10417,850
19179,10090,8204,1886
19149,8771,6887,1884
19111,9513,8615,898
19043,6057,5589,468
19137,3525,3085,440
19175,3724,3591,133
19081,3406,3080,326
19147,3067,2925,142
19191,7651,7002,649
19109,5321,4908,413
19121,4842,4631,211
19053,2073,1892,181
19063,3130,2898,232
19005,4446,4314,132
19123,5471,4905,566
19091,3270,2977,293
19083,6011,5299,712
19027,8347,7564,783
19057,11743,11131,612
19075,4808,4506,302
19161,3426,3182,244
19015,9569,9122,447
19017,9464,8634,830
19059,6811,6646,165
19119,2883,2762,121
19167,9277,7880,1397
19131,3504,3405,99
19069,3383,3116,267
19039,3030,2429,601
19051,2109,2015,94
19085,4228,3956,272
19033,15792,14673,1119
19047,5564,4401,1163
19115,3496,2601,895
19007,3782,3462,320
19021,7527,4952,2575
19183,7422,6922,500
19197,4633,3891,742
19041,5716,5464,252
19079,5645,5104,541
19073,3232,2869,363
19009,2213,2101,112
19035,4062,3770,292
19133,2965,2830,135
19037,4221,3670,551
19185,1762,1627,135
19129,4293,4090,203
19089,2856,2520,336
19001,2329,2089,240
19143,1829,1688,141
19159,1699,1673,26
19003,1245,1216,29
19117,2349,2051,298
19151,2203,2036,167
19173,1962,1922,40
19135,2313,2083,230
19189,3553,3098,455
19107,2953,2726,227
19195,2346,2219,127
,37,31,6
