RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19061,42066,40917,1149
19153,165533,157112,8421
19149,8852,6962,1890
19109,5399,4985,414
19013,48073,43857,4216
19191,7957,7302,655
19039,3123,2517,606
19187,12415,11507,908
19089,3014,2678,336
19011,9151,8421,730
19125,10674,8847,1827
19033,16425,15297,1128
19157,6782,6484,298
19113,86338,79659,6679
19163,55121,51554,3567
19181,16824,16050,774
19047,5705,4539,1166
19057,11866,11243,623
19049,31840,30205,1635
19193,33546,29849,3697
19105,7097,6369,728
19159,1724,1696,28
19103,67943,64153,3790
19141,4871,4458,413
19155,27177,25449,1728
19167,9485,8083,1402
19169,33368,31528,1840
19077,3964,3739,225
19101,5413,4895,518
19083,6233,5513,720
19065,7375,6924,451
19093,2237,1920,317
19055,6030,5331,699
19097,6687,6443,244
19031,7055,6538,517
19189,3696,3235,461
19185,1815,1680,135
19081,3531,3202,329
19091,3310,3012,298
19073,3288,2889,399
19043,6114,5640,474
19079,5695,5147,548
19127,13442,11272,2170
19145,5116,4743,373
19027,8439,7615,824
19099,11772,10898,874
19111,9653,8735,918
19025,3626,3397,229
19179,10371,8475,1896
19045,14147,13129,1018
19161,3439,3195,244
19139,14680,11522,3158
19019,7237,6780,457
19137,3571,3126,445
19041,5776,5521,255
19195,2408,2280,128
19037,4408,3856,552
19197,4751,3991,760
19173,1978,1938,40
19023,5621,5315,306
19129,4364,4161,203
19067,5290,4996,294
19085,4260,3983,277
19017,9774,8929,845
19147,3098,2955,143
19015,9845,9379,466
19121,5047,4829,218
19133,2981,2845,136
19117,2465,2158,307
19135,2371,2137,234
19183,7531,7026,505
19123,5596,5019,577
19151,2219,2050,169
19035,4157,3857,300
19107,2979,2752,227
19119,2934,2812,122
19007,3833,3509,324
19171,6395,5695,700
19095,6175,5672,503
19059,6903,6734,169
19029,4880,4631,249
19075,4940,4633,307
19115,3530,2631,899
19021,7593,5015,2578
19009,2290,2178,112
19087,6077,5181,896
19175,3945,3808,137
19001,2363,2119,244
19143,1843,1699,144
19165,4631,4475,156
19005,4507,4370,137
19177,1887,1753,134
19051,2149,2048,101
19063,3212,2978,234
19071,2147,2000,147
19053,2089,1907,182
19131,3521,3421,100
19069,3489,3222,267
19003,1258,1228,30
,37,31,6
