RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19193,34912,31011,3901
19135,2523,2268,255
19153,193202,183633,9569
19065,7714,7236,478
19169,40336,38299,2037
19095,7071,6528,543
19155,29885,28070,1815
19103,74781,70766,4015
19187,13419,12429,990
19185,1870,1730,140
19113,96483,89511,6972
19027,9131,8241,890
19057,12714,12058,656
19127,15435,13227,2208
19013,52299,47821,4478
19017,10497,9604,893
19109,5648,5220,428
19049,37391,35556,1835
19019,7780,7288,492
19195,2641,2507,134
19141,5088,4657,431
19081,3660,3311,349
19099,13385,12295,1090
19139,16644,13332,3312
19009,2410,2283,127
19191,8875,8145,730
19045,15485,14398,1087
19061,45034,43720,1314
19147,3318,3145,173
19073,3521,3097,424
19039,3344,2704,640
19183,8487,7914,573
19003,1338,1306,32
19173,2081,2030,51
19111,10671,9655,1016
19041,5989,5700,289
19077,4251,3996,255
19175,4238,4066,172
19167,10261,8768,1493
19015,10979,10456,523
19033,17836,16646,1190
19053,2190,2000,190
19121,5838,5591,247
19133,3196,3052,144
19181,19106,18207,899
19055,6479,5752,727
19165,4972,4799,173
19007,3993,3652,341
19011,10038,9269,769
19189,3929,3451,478
19123,6332,5711,621
19157,7258,6950,308
19171,7006,6290,716
19067,5675,5325,350
19029,5299,5030,269
19063,3374,3129,245
19159,1830,1800,30
19115,3795,2870,925
19163,59097,55126,3971
19125,11569,9665,1904
19149,9284,7366,1918
19059,7429,7230,199
19093,2364,2015,349
19075,5342,5000,342
19091,3442,3129,313
19151,2511,2326,185
19101,5855,5282,573
19005,4718,4556,162
19025,3874,3620,254
19083,6624,5872,752
19069,3761,3471,290
19023,6047,5726,321
19085,4767,4469,298
19197,5034,4239,795
19161,3786,3508,278
19145,5301,4912,389
19037,4640,4065,575
19179,11165,9238,1927
19089,3265,2886,379
19079,6434,5848,586
19105,7959,7140,819
19131,3588,3472,116
19143,1995,1844,151
19051,2264,2155,109
19047,6095,4887,1208
19043,6425,5927,498
19035,4424,4108,316
19031,7741,7181,560
19107,3308,3064,244
19119,3157,3022,135
19129,4832,4617,215
19097,7496,7208,288
19087,6930,5817,1113
19021,8130,5499,2631
19177,2018,1867,151
19001,2480,2227,253
,40,34,6
19071,2235,2078,157
19117,2674,2348,326
19137,3814,3351,463
