RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19155,31056,29152,1904
19103,76688,72549,4139
19153,204921,194611,10310
19061,46155,44718,1437
19095,7214,6650,564
19007,4084,3721,363
19113,100802,93587,7215
19169,42654,40398,2256
19167,10556,9038,1518
19099,14038,12883,1155
19049,39585,37603,1982
19161,3836,3552,284
19027,9238,8320,918
19111,11074,9920,1154
19037,4767,4162,605
19067,5893,5500,393
19195,2752,2599,153
19015,11610,11025,585
19117,2751,2403,348
19163,61225,56931,4294
19077,4386,4111,275
19175,4374,4172,202
19193,36094,32030,4064
19127,16287,14022,2265
19013,53996,49324,4672
19191,9151,8363,788
19179,11491,9532,1959
19017,10820,9899,921
19137,3915,3430,485
19121,6082,5816,266
19091,3492,3170,322
19019,8036,7522,514
19045,16384,15254,1130
19165,5051,4868,183
19125,11981,10021,1960
19033,18466,17164,1302
19081,3878,3489,389
19135,2565,2292,273
19057,13089,12377,712
19031,7940,7353,587
19157,7692,7345,347
19123,6532,5876,656
19139,17286,13862,3424
19047,6231,5005,1226
19101,6019,5423,596
19009,2445,2315,130
19187,13788,12771,1017
19181,20238,19223,1015
19105,8778,7917,861
19131,3808,3660,148
19021,8382,5722,2660
19065,7853,7371,482
19109,5750,5311,439
19147,3374,3190,184
19041,6126,5823,303
19149,9465,7528,1937
19183,8741,8146,595
19025,4270,3999,271
19083,6828,6022,806
19003,1358,1321,37
19173,2115,2063,52
19159,1871,1838,33
19001,2542,2273,269
19039,3440,2794,646
19087,7180,5924,1256
19073,3599,3154,445
19119,3230,3085,145
19171,7203,6469,734
19141,5191,4745,446
19029,5439,5147,292
19023,6285,5926,359
19079,6566,5959,607
19055,6619,5864,755
19189,4050,3530,520
19089,3386,2986,400
19011,10338,9552,786
19043,6506,5992,514
19129,5001,4761,240
19069,3867,3560,307
19051,2329,2206,123
19133,3275,3122,153
19145,5513,5117,396
19035,4516,4190,326
19063,3441,3181,260
19151,2574,2386,188
19075,5548,5168,380
19197,5145,4329,816
19177,2066,1905,161
19115,3910,2962,948
19005,4852,4666,186
19085,4933,4629,304
19059,7533,7322,211
19093,2426,2067,359
19143,2042,1873,169
19107,3388,3138,250
19097,7654,7346,308
19053,2225,2016,209
19071,2304,2136,168
19185,1907,1759,148
,41,35,6
