RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19169,43352,41012,2340
19153,209559,198893,10666
19049,40393,38352,2041
19045,16708,15542,1166
19167,10596,9074,1522
19089,3416,3013,403
19071,2311,2143,168
19007,4117,3750,367
19163,61935,57519,4416
19061,46485,44999,1486
19113,103217,95886,7331
19179,11620,9642,1978
19155,31668,29737,1931
19131,3875,3723,152
19103,77689,73465,4224
19139,17531,14065,3466
19165,5081,4894,187
19161,3845,3559,286
19189,4067,3540,527
19033,18670,17293,1377
19197,5204,4365,839
19187,13913,12863,1050
19181,20575,19523,1052
19085,4948,4644,304
19141,5224,4777,447
19025,4280,4008,272
19127,16590,14307,2283
19055,6677,5911,766
19143,2058,1884,174
19011,10491,9695,796
19041,6160,5848,312
19107,3413,3157,256
19013,54549,49820,4729
19171,7290,6541,749
19193,36383,32287,4096
19183,8880,8275,605
19027,9309,8380,929
19121,6154,5879,275
19111,11292,10080,1212
19047,6269,5042,1227
19119,3255,3107,148
19031,8042,7442,600
19099,14338,13127,1211
19015,11768,11155,613
19019,8105,7580,525
19035,4527,4197,330
19063,3466,3202,264
19123,6632,5946,686
19037,4797,4185,612
19029,5488,5193,295
19125,12146,10138,2008
19145,5721,5325,396
19021,8457,5790,2667
19093,2431,2071,360
19091,3518,3188,330
19065,7914,7424,490
19057,13244,12514,730
19009,2454,2321,133
19175,4419,4203,216
19185,1915,1765,150
19023,6315,5954,361
19043,6530,6007,523
19017,10925,9990,935
19083,6877,6062,815
19191,9300,8504,796
19075,5612,5218,394
19195,2771,2616,155
19081,3886,3494,392
19053,2242,2028,214
19149,9505,7557,1948
19101,6114,5494,620
19087,7446,6149,1297
19177,2092,1927,165
19157,7841,7471,370
19173,2120,2066,54
19109,5799,5350,449
19079,6698,6080,618
19147,3396,3207,189
19117,2784,2434,350
19159,1874,1839,35
19133,3280,3127,153
19051,2348,2219,129
19003,1373,1333,40
19077,4425,4144,281
19073,3629,3173,456
19097,7711,7398,313
19005,4936,4748,188
19039,3479,2821,658
19059,7570,7357,213
19067,5976,5566,410
19069,3885,3571,314
19135,2586,2309,277
19115,3954,2995,959
19105,8859,7984,875
19137,3931,3444,487
19095,7301,6719,582
19129,5033,4790,243
19151,2580,2391,189
19001,2556,2282,274
,42,36,6
