RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,226545,214808,11737
19183,9321,8679,642
19123,7056,6322,734
19015,12509,11826,683
19181,21977,20800,1177
19037,4968,4319,649
19155,34121,32092,2029
19021,8763,6042,2721
19069,4015,3677,338
19161,3953,3642,311
19107,3585,3302,283
19189,4202,3652,550
19113,111474,103710,7764
19103,83118,78655,4463
19193,38123,33805,4318
19169,46245,43714,2531
19099,15779,14311,1468
19187,15188,13985,1203
19095,7656,7026,630
19157,8233,7812,421
19045,17616,16309,1307
19163,66340,61520,4820
19049,43615,41431,2184
19127,17519,15168,2351
19083,7169,6302,867
19017,11360,10377,983
19059,7806,7566,240
19051,2449,2307,142
19055,6964,6169,795
19019,8442,7873,569
19065,8156,7633,523
19139,18585,14929,3656
19115,4126,3138,988
19171,7593,6829,764
19089,3517,3091,426
19119,3352,3194,158
19179,12303,10217,2086
19031,8488,7852,636
19081,4046,3618,428
19121,6481,6186,295
19013,57692,52621,5071
19027,9591,8621,970
19191,9612,8781,831
19125,12862,10797,2065
19117,2924,2562,362
19077,4727,4422,305
19029,5752,5420,332
19033,19513,18014,1499
19011,11079,10237,842
19061,48086,46482,1604
19053,2342,2120,222
19041,6388,6041,347
19167,11060,9461,1599
19109,6085,5566,519
19195,2885,2717,168
19091,3656,3312,344
19087,7907,6458,1449
19063,3602,3309,293
19023,6533,6140,393
19007,4370,3982,388
19079,7004,6358,646
19175,4662,4422,240
19133,3496,3297,199
19141,5399,4922,477
19075,5802,5367,435
19165,5248,5048,200
19009,2530,2390,140
19105,9380,8438,942
19145,5989,5506,483
19025,4455,4149,306
19067,6241,5782,459
19039,3643,2959,684
19147,3507,3302,205
19071,2431,2246,185
19057,13893,13102,791
19097,7947,7598,349
19003,1452,1403,49
19173,2190,2129,61
19131,3988,3816,172
19111,11923,10515,1408
19005,5082,4876,206
19197,5404,4528,876
19177,2188,2005,183
19093,2546,2164,382
19073,3795,3313,482
19159,1961,1923,38
19047,6546,5266,1280
19001,2705,2406,299
19137,4102,3592,510
19035,4673,4333,340
19151,2655,2456,199
19135,2709,2414,295
19185,1994,1833,161
19149,9821,7815,2006
19101,6496,5826,670
19085,5159,4826,333
19129,5314,5051,263
19143,2134,1940,194
19043,6706,6161,545
,42,36,6
