RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19149,9881,7864,2017
19103,83820,79294,4526
19193,38458,34121,4337
19169,46826,44266,2560
19153,229836,217924,11912
19011,11146,10301,845
19057,14031,13238,793
19083,7249,6375,874
19127,17990,15616,2374
19163,67225,62354,4871
19021,8994,6126,2868
19113,112505,104683,7822
19183,9415,8768,647
19027,9643,8671,972
19055,7007,6207,800
19155,34495,32456,2039
19105,9513,8563,950
19043,6722,6175,547
19023,6561,6164,397
19179,12450,10325,2125
19077,4758,4451,307
19007,4403,4014,389
19165,5275,5071,204
19111,11988,10574,1414
19107,3610,3327,283
19095,7705,7072,633
19101,6581,5906,675
19049,44149,41942,2207
19161,3982,3662,320
19099,15976,14502,1474
19013,58171,53090,5081
19061,48481,46862,1619
19139,18750,15056,3694
19037,4988,4335,653
19187,15280,14052,1228
19125,12977,10908,2069
19041,6430,6079,351
19045,17727,16411,1316
19123,7095,6354,741
19069,4048,3706,342
19175,4700,4459,241
19033,19838,18326,1512
19121,6554,6254,300
19181,22202,21009,1193
19109,6103,5584,519
19091,3679,3335,344
19145,6023,5540,483
19015,12641,11950,691
19147,3524,3317,207
19059,7847,7604,243
19017,11428,10443,985
19189,4242,3690,552
19019,8498,7926,572
19167,11130,9522,1608
19029,5801,5465,336
19097,7982,7629,353
19075,5843,5401,442
19035,4710,4368,342
19129,5381,5113,268
19065,8186,7661,525
19067,6282,5818,464
19005,5112,4904,208
19073,3863,3374,489
19089,3543,3112,431
19197,5491,4613,878
19079,7067,6418,649
19151,2675,2473,202
19001,2724,2422,302
19009,2546,2404,142
19131,3996,3824,172
19137,4132,3619,513
19191,9689,8851,838
19047,6607,5320,1287
19133,3510,3309,201
19141,5437,4956,481
19115,4150,3157,993
19085,5194,4855,339
19031,8566,7927,639
19053,2381,2159,222
19157,8305,7882,423
19081,4054,3626,428
19093,2557,2175,382
19195,2909,2741,168
19025,4473,4161,312
19063,3628,3333,295
19117,2982,2620,362
19087,7962,6503,1459
19171,7638,6869,769
19135,2737,2440,297
19185,2011,1850,161
19003,1470,1421,49
19173,2198,2136,62
19119,3359,3200,159
19071,2443,2258,185
19039,3669,2985,684
19051,2464,2320,144
19177,2196,2012,184
19159,1977,1939,38
19143,2149,1954,195
,44,38,6
