RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,247124,234224,12900
19161,4082,3746,336
19027,10036,9036,1000
19013,61336,55980,5356
19017,12023,10980,1043
19019,8920,8291,629
19195,3017,2833,184
19033,20847,19161,1686
19081,4219,3762,457
19169,49125,46415,2710
19139,19955,15945,4010
19165,5441,5218,223
19009,2667,2518,149
19191,10166,9281,885
19103,87565,82745,4820
19065,8555,7981,574
19061,50435,48689,1746
19147,3627,3406,221
19183,9849,9154,695
19193,40554,35991,4563
19003,1534,1473,61
19173,2276,2203,73
19041,6736,6343,393
19125,13564,11438,2126
19123,7411,6613,798
19157,8664,8211,453
19099,16872,15301,1571
19073,4083,3571,512
19113,118472,110138,8334
19049,47305,44951,2354
19171,8012,7168,844
19109,6422,5870,552
19187,16005,14645,1360
19011,11631,10735,896
19045,18977,17544,1433
19067,6568,6049,519
19189,4406,3829,577
19131,4144,3944,200
19029,6004,5650,354
19135,2855,2538,317
19127,19343,16749,2594
19063,3744,3431,313
19159,2038,1998,40
19115,4353,3324,1029
19163,71599,66374,5225
19149,10367,8276,2091
19059,8109,7841,268
19093,2654,2255,399
19015,13447,12705,742
19141,5631,5113,518
19075,6027,5556,471
19091,3790,3434,356
19151,2805,2593,212
19055,7279,6438,841
19101,6957,6246,711
19005,5271,5047,224
19181,23629,22311,1318
19025,4608,4270,338
19083,7488,6570,918
19069,4243,3872,371
19023,6802,6368,434
19133,3634,3406,228
19085,5339,4981,358
19137,4299,3774,525
19111,12736,11207,1529
19197,5742,4837,905
19179,13214,10862,2352
19121,6872,6543,329
19143,2229,2015,214
19051,2587,2430,157
19047,6910,5595,1315
19145,6258,5724,534
19043,6905,6331,574
19057,14937,14055,882
19007,4568,4151,417
19107,3746,3446,300
19077,5012,4679,333
19129,5825,5546,279
19021,9439,6454,2985
19087,8332,6759,1573
19079,7361,6688,673
19035,4821,4460,361
19001,2879,2562,317
19037,5168,4480,688
19095,8082,7396,686
19167,11504,9846,1658
19089,3716,3254,462
19119,3425,3252,173
19185,2135,1967,168
19039,3881,3179,702
19097,8294,7922,372
19155,36986,34868,2118
19117,3096,2708,388
19031,8910,8248,662
19175,4924,4660,264
19071,2533,2335,198
19053,2458,2227,231
19177,2258,2057,201
19105,9905,8881,1024
,44,38,6
