RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,247739,234697,13042
19161,4085,3749,336
19027,10046,9045,1001
19013,61455,56080,5375
19017,12052,11007,1045
19019,8987,8357,630
19195,3025,2838,187
19033,20880,19182,1698
19081,4222,3763,459
19169,49196,46474,2722
19139,19998,15978,4020
19165,5448,5224,224
19009,2674,2522,152
19191,10184,9293,891
19103,87650,82828,4822
19065,8578,7993,585
19061,50515,48764,1751
19147,3638,3415,223
19183,9870,9167,703
19193,40684,36096,4588
19003,1536,1475,61
19173,2280,2207,73
19041,6744,6347,397
19125,13584,11454,2130
19123,7425,6623,802
19157,8680,8227,453
19099,16934,15358,1576
19073,4092,3579,513
19113,118663,110295,8368
19049,47400,45033,2367
19171,8028,7184,844
19109,6427,5875,552
19187,16026,14659,1367
19011,11644,10746,898
19045,18998,17560,1438
19067,6575,6054,521
19189,4413,3834,579
19131,4149,3948,201
19029,6011,5657,354
19135,2858,2541,317
19127,19382,16772,2610
19063,3745,3432,313
19159,2040,1998,42
19115,4365,3330,1035
19163,71723,66486,5237
19149,10389,8288,2101
19059,8114,7842,272
19093,2660,2258,402
19015,13477,12733,744
19141,5643,5123,520
19075,6039,5567,472
19091,3796,3437,359
19151,2811,2598,213
19055,7291,6445,846
19101,6968,6256,712
19005,5286,5060,226
19181,23673,22343,1330
19025,4612,4273,339
19083,7496,6576,920
19069,4245,3873,372
19023,6824,6388,436
19133,3639,3407,232
19085,5358,5000,358
19137,4301,3776,525
19111,12759,11224,1535
19197,5745,4838,907
19179,13246,10884,2362
19121,6889,6556,333
19143,2234,2016,218
19051,2588,2430,158
19047,6927,5609,1318
19145,6270,5736,534
19043,6913,6337,576
19057,14966,14081,885
19007,4568,4151,417
19107,3752,3450,302
19077,5022,4685,337
19129,5836,5557,279
19021,9460,6463,2997
19087,8358,6771,1587
19079,7368,6694,674
19035,4834,4468,366
19001,2882,2564,318
19037,5176,4486,690
19095,8108,7409,699
19167,11522,9860,1662
19089,3725,3258,467
19119,3428,3254,174
19185,2141,1970,171
19039,3885,3181,704
19097,8305,7932,373
19155,37072,34948,2124
19117,3110,2715,395
19031,8922,8260,662
19175,4933,4666,267
19071,2537,2339,198
19053,2465,2233,232
19177,2262,2061,201
19105,9920,8895,1025
,44,38,6
