RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,248038,234977,13061
19161,4092,3755,337
19027,10051,9048,1003
19013,61510,56129,5381
19017,12074,11025,1049
19019,9001,8369,632
19195,3031,2844,187
19033,20965,19260,1705
19081,4228,3769,459
19169,49235,46508,2727
19139,20018,15993,4025
19165,5454,5229,225
19009,2674,2522,152
19191,10186,9295,891
19103,87713,82886,4827
19065,8586,8000,586
19061,50547,48792,1755
19147,3640,3417,223
19183,9881,9173,708
19193,40752,36153,4599
19003,1537,1476,61
19173,2282,2208,74
19041,6760,6362,398
19125,13597,11465,2132
19123,7433,6629,804
19157,8682,8228,454
19099,16945,15365,1580
19073,4098,3584,514
19113,118769,110392,8377
19049,47456,45087,2369
19171,8037,7190,847
19109,6440,5881,559
19187,16072,14689,1383
19011,11648,10749,899
19045,19022,17581,1441
19067,6592,6066,526
19189,4419,3839,580
19131,4151,3949,202
19029,6020,5666,354
19135,2861,2543,318
19127,19409,16796,2613
19063,3748,3435,313
19159,2046,2004,42
19115,4368,3332,1036
19163,71792,66544,5248
19149,10404,8299,2105
19059,8117,7845,272
19093,2670,2265,405
19015,13485,12741,744
19141,5647,5125,522
19075,6045,5571,474
19091,3800,3438,362
19151,2813,2600,213
19055,7294,6448,846
19101,6972,6260,712
19005,5288,5060,228
19181,23688,22354,1334
19025,4617,4278,339
19083,7502,6581,921
19069,4252,3879,373
19023,6839,6401,438
19133,3642,3409,233
19085,5370,5008,362
19137,4304,3779,525
19111,12778,11232,1546
19197,5748,4841,907
19179,13260,10897,2363
19121,6893,6559,334
19143,2241,2023,218
19051,2592,2431,161
19047,6935,5615,1320
19145,6272,5738,534
19043,6916,6339,577
19057,14979,14094,885
19007,4570,4151,419
19107,3754,3452,302
19077,5031,4694,337
19129,5839,5560,279
19021,9474,6472,3002
19087,8363,6775,1588
19079,7370,6696,674
19035,4841,4473,368
19001,2886,2567,319
19037,5177,4487,690
19095,8117,7417,700
19167,11537,9866,1671
19089,3727,3259,468
19119,3432,3258,174
19185,2141,1970,171
19039,3888,3184,704
19097,8309,7935,374
19155,37119,34988,2131
19117,3112,2716,396
19031,8929,8266,663
19175,4938,4670,268
19071,2537,2339,198
19053,2466,2234,232
19177,2271,2064,207
19105,9933,8905,1028
,44,38,6
