RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,250871,237580,13291
19161,4117,3776,341
19027,10097,9083,1014
19013,62063,56624,5439
19017,12168,11110,1058
19019,9076,8438,638
19103,88284,83358,4926
19195,3066,2875,191
19033,21140,19407,1733
19081,4258,3795,463
19169,49601,46836,2765
19139,20157,16111,4046
19165,5484,5254,230
19009,2694,2540,154
19191,10250,9355,895
19065,8624,8030,594
19061,50825,49032,1793
19147,3674,3442,232
19183,9968,9255,713
19003,1546,1484,62
19173,2304,2227,77
19041,6800,6397,403
19125,13701,11556,2145
19123,7487,6678,809
19157,8751,8287,464
19099,17119,15528,1591
19073,4122,3604,518
19113,119735,111230,8505
19049,47896,45489,2407
19193,41202,36566,4636
19171,8082,7231,851
19109,6475,5913,562
19187,16188,14794,1394
19011,11739,10836,903
19045,19200,17741,1459
19067,6649,6102,547
19189,4447,3865,582
19131,4194,3985,209
19029,6049,5688,361
19135,2887,2563,324
19127,19633,16960,2673
19063,3771,3458,313
19159,2053,2013,40
19115,4405,3357,1048
19163,72475,67179,5296
19149,10475,8359,2116
19059,8171,7895,276
19093,2691,2278,413
19015,13579,12827,752
19141,5687,5159,528
19075,6083,5595,488
19091,3825,3458,367
19151,2836,2613,223
19055,7332,6487,845
19101,7046,6329,717
19005,5321,5090,231
19181,23886,22523,1363
19025,4643,4295,348
19083,7540,6614,926
19069,4273,3897,376
19023,6885,6441,444
19133,3651,3411,240
19085,5397,5034,363
19137,4332,3803,529
19111,12913,11348,1565
19197,5775,4863,912
19179,13415,11018,2397
19121,6944,6605,339
19143,2254,2032,222
19051,2612,2450,162
19047,6981,5659,1322
19145,6312,5775,537
19043,6946,6361,585
19057,15122,14227,895
19007,4604,4180,424
19107,3779,3476,303
19077,5074,4730,344
19129,5888,5608,280
19021,9584,6580,3004
19087,8419,6818,1601
19079,7437,6758,679
19035,4872,4498,374
19001,2902,2581,321
19037,5210,4511,699
19095,8182,7477,705
19167,11627,9936,1691
19089,3743,3269,474
19119,3455,3279,176
19185,2155,1981,174
19039,3934,3223,711
19155,37558,35405,2153
19117,3151,2744,407
19031,9002,8332,670
19175,4984,4711,273
19071,2549,2351,198
19053,2489,2256,233
19177,2291,2073,218
19097,8356,7977,379
19105,9984,8944,1040
,43,38,5
