RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,251227,237902,13325
19161,4118,3776,342
19027,10102,9085,1017
19013,62119,56677,5442
19017,12186,11128,1058
19019,9084,8446,638
19103,88331,83401,4930
19195,3066,2875,191
19033,21159,19421,1738
19081,4263,3799,464
19169,49665,46884,2781
19139,20176,16128,4048
19165,5488,5257,231
19009,2697,2543,154
19191,10258,9363,895
19065,8630,8034,596
19061,50861,49066,1795
19147,3678,3445,233
19183,9976,9263,713
19003,1546,1484,62
19173,2306,2229,77
19041,6805,6399,406
19125,13708,11562,2146
19123,7511,6701,810
19157,8758,8294,464
19099,17145,15551,1594
19073,4125,3607,518
19113,119865,111338,8527
19049,47960,45548,2412
19193,41257,36616,4641
19171,8103,7251,852
19109,6482,5920,562
19187,16206,14809,1397
19011,11761,10854,907
19045,19224,17762,1462
19067,6659,6108,551
19189,4452,3870,582
19131,4205,3995,210
19029,6054,5692,362
19135,2888,2564,324
19127,19684,17002,2682
19063,3773,3460,313
19159,2055,2015,40
19115,4413,3363,1050
19163,72548,67239,5309
19149,10484,8368,2116
19059,8180,7902,278
19093,2693,2280,413
19015,13597,12843,754
19141,5688,5160,528
19075,6089,5597,492
19091,3826,3458,368
19151,2843,2620,223
19055,7343,6497,846
19101,7050,6333,717
19005,5324,5093,231
19181,23911,22543,1368
19025,4645,4297,348
19083,7543,6616,927
19069,4277,3901,376
19023,6889,6444,445
19133,3654,3414,240
19085,5398,5035,363
19137,4335,3805,530
19111,12932,11357,1575
19197,5781,4866,915
19179,13428,11030,2398
19121,6952,6611,341
19143,2254,2032,222
19051,2613,2451,162
19047,6983,5661,1322
19145,6321,5783,538
19043,6946,6361,585
19057,15144,14245,899
19007,4605,4181,424
19107,3790,3486,304
19077,5077,4733,344
19129,5895,5614,281
19021,9611,6603,3008
19087,8434,6825,1609
19079,7450,6771,679
19035,4878,4503,375
19001,2906,2585,321
19037,5212,4512,700
19095,8189,7484,705
19167,11634,9939,1695
19089,3746,3272,474
19119,3456,3280,176
19185,2158,1983,175
19039,3938,3226,712
19155,37584,35422,2162
19117,3155,2745,410
19031,9011,8340,671
19175,4990,4717,273
19071,2551,2353,198
19053,2491,2257,234
19177,2295,2077,218
19097,8367,7988,379
19105,9992,8952,1040
,43,38,5
