RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,252576,239078,13498
19161,4132,3788,344
19027,10133,9109,1024
19013,62419,56946,5473
19017,12227,11159,1068
19019,9116,8473,643
19103,88577,83621,4956
19195,3076,2882,194
19033,21252,19497,1755
19081,4280,3808,472
19169,49823,47012,2811
19139,20374,16205,4169
19165,5503,5271,232
19009,2703,2548,155
19191,10301,9402,899
19065,8663,8060,603
19061,50983,49178,1805
19147,3686,3452,234
19183,10025,9304,721
19003,1552,1490,62
19173,2308,2231,77
19041,6830,6423,407
19125,13770,11621,2149
19123,7548,6725,823
19157,8784,8317,467
19099,17221,15613,1608
19073,4137,3616,521
19113,120343,111750,8593
19049,48194,45745,2449
19193,41465,36794,4671
19171,8151,7283,868
19109,6518,5951,567
19187,16291,14876,1415
19011,11796,10884,912
19045,19324,17846,1478
19067,6701,6132,569
19189,4467,3882,585
19131,4220,4005,215
19029,6081,5716,365
19135,2900,2574,326
19127,19780,17078,2702
19063,3784,3470,314
19159,2063,2023,40
19115,4442,3384,1058
19163,72950,67567,5383
19149,10530,8406,2124
19059,8209,7931,278
19093,2700,2286,414
19015,13666,12899,767
19141,5711,5179,532
19075,6106,5609,497
19091,3848,3469,379
19151,2850,2625,225
19055,7358,6511,847
19101,7086,6365,721
19005,5339,5108,231
19181,24036,22649,1387
19025,4660,4309,351
19083,7563,6630,933
19069,4298,3917,381
19023,6909,6461,448
19133,3664,3422,242
19085,5414,5050,364
19137,4348,3816,532
19111,13002,11397,1605
19037,5240,4526,714
19197,5807,4885,922
19179,13505,11086,2419
19121,6987,6639,348
19143,2263,2039,224
19051,2628,2462,166
19047,7019,5693,1326
19145,6342,5802,540
19043,6956,6371,585
19057,15227,14316,911
19007,4616,4189,427
19107,3799,3493,306
19077,5098,4754,344
19129,5916,5629,287
19021,9650,6637,3013
19087,8467,6852,1615
19079,7474,6790,684
19035,4893,4513,380
19001,2919,2594,325
19095,8208,7495,713
19167,11680,9971,1709
19089,3758,3281,477
19119,3461,3282,179
19185,2170,1991,179
19039,3958,3242,716
19155,37762,35573,2189
19117,3173,2758,415
19031,9040,8367,673
19175,5008,4729,279
19071,2561,2363,198
19053,2500,2265,235
19177,2302,2083,219
19097,8393,8014,379
19105,10032,8981,1051
,43,38,5
