RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,253468,239843,13625
19161,4138,3792,346
19027,10172,9139,1033
19013,62626,57125,5501
19017,12253,11180,1073
19019,9141,8496,645
19103,88764,83777,4987
19195,3083,2889,194
19033,21323,19559,1764
19081,4291,3815,476
19169,49936,47108,2828
19139,20435,16249,4186
19165,5516,5280,236
19009,2704,2548,156
19191,10321,9421,900
19065,8678,8071,607
19061,51071,49254,1817
19147,3700,3461,239
19183,10056,9330,726
19003,1559,1495,64
19173,2312,2234,78
19041,6842,6435,407
19125,13803,11649,2154
19123,7580,6752,828
19157,8799,8332,467
19099,17255,15644,1611
19073,4149,3627,522
19113,120732,112080,8652
19049,48341,45871,2470
19193,41644,36957,4687
19171,8169,7296,873
19109,6538,5967,571
19187,16338,14916,1422
19011,11858,10943,915
19045,19387,17905,1482
19067,6720,6142,578
19189,4477,3891,586
19131,4233,4015,218
19029,6105,5733,372
19135,2909,2576,333
19127,19840,17122,2718
19063,3794,3480,314
19159,2066,2026,40
19115,4466,3402,1064
19163,73183,67767,5416
19149,10545,8419,2126
19059,8226,7946,280
19093,2705,2288,417
19015,13697,12929,768
19141,5726,5188,538
19075,6118,5621,497
19091,3861,3480,381
19151,2854,2627,227
19055,7387,6526,861
19101,7112,6383,729
19005,5345,5114,231
19181,24111,22702,1409
19025,4667,4312,355
19083,7569,6635,934
19069,4313,3929,384
19023,6919,6467,452
19133,3677,3433,244
19085,5424,5059,365
19137,4358,3824,534
19111,13068,11441,1627
19037,5268,4537,731
19197,5839,4910,929
19179,13560,11112,2448
19121,7005,6654,351
19143,2267,2043,224
19051,2641,2471,170
19047,7050,5709,1341
19145,6358,5815,543
19043,6966,6377,589
19057,15282,14367,915
19007,4624,4197,427
19107,3810,3501,309
19077,5115,4764,351
19129,5939,5651,288
19021,9679,6658,3021
19087,8501,6872,1629
19079,7495,6809,686
19035,4904,4522,382
19001,2925,2597,328
19175,5013,4734,279
19095,8238,7521,717
19167,11714,10000,1714
19089,3772,3287,485
19119,3474,3289,185
19185,2177,1997,180
19039,3984,3258,726
19155,37889,35689,2200
19117,3184,2768,416
19031,9061,8386,675
19071,2567,2368,199
19053,2507,2270,237
19177,2323,2094,229
19097,8408,8028,380
19105,10067,9002,1065
,44,39,5
