RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,259466,244958,14508
19161,4208,3837,371
19027,10334,9267,1067
19013,63969,58291,5678
19017,12497,11389,1108
19019,9323,8658,665
19103,89892,84718,5174
19195,3139,2943,196
19033,21748,19929,1819
19081,4364,3874,490
19169,50757,47789,2968
19139,20836,16560,4276
19165,5615,5366,249
19009,2743,2580,163
19191,10461,9542,919
19065,8842,8218,624
19061,51889,50009,1880
19147,3748,3505,243
19183,10226,9471,755
19003,1583,1511,72
19173,2368,2284,84
19041,6969,6559,410
19125,14132,11892,2240
19123,7735,6889,846
19157,8955,8477,478
19099,17611,15931,1680
19073,4220,3684,536
19113,122901,113900,9001
19049,49395,46767,2628
19193,42728,37995,4733
19171,8305,7409,896
19109,6617,6034,583
19187,16750,15247,1503
19011,12064,11117,947
19141,5807,5251,556
19045,19849,18308,1541
19067,6859,6246,613
19189,4556,3963,593
19131,4301,4072,229
19029,6233,5841,392
19135,2978,2622,356
19127,20281,17405,2876
19063,3854,3527,327
19159,2099,2054,45
19115,4579,3489,1090
19163,74693,69115,5578
19149,10735,8592,2143
19059,8356,8059,297
19093,2754,2323,431
19015,13984,13154,830
19075,6245,5696,549
19091,3940,3541,399
19151,2908,2666,242
19055,7506,6618,888
19101,7238,6500,738
19005,5450,5213,237
19181,24636,23122,1514
19025,4748,4374,374
19083,7685,6728,957
19069,4385,3988,397
19023,7040,6564,476
19133,3724,3470,254
19085,5518,5137,381
19137,4452,3908,544
19111,13356,11637,1719
19037,5367,4611,756
19197,5965,5008,957
19179,13819,11339,2480
19121,7162,6784,378
19095,8380,7635,745
19143,2302,2063,239
19051,2705,2526,179
19047,7193,5827,1366
19145,6477,5929,548
19043,7046,6448,598
19057,15722,14766,956
19007,4708,4263,445
19107,3873,3558,315
19077,5214,4836,378
19129,6024,5724,300
19021,9884,6827,3057
19087,8681,7020,1661
19053,2559,2305,254
19097,8574,8161,413
19155,38679,36444,2235
19079,7649,6938,711
19035,4994,4590,404
19001,2958,2621,337
19175,5124,4830,294
19167,11924,10156,1768
19089,3833,3326,507
19119,3533,3324,209
19185,2211,2020,191
19039,4086,3343,743
19117,3223,2795,428
19031,9243,8541,702
19071,2596,2397,199
19177,2362,2125,237
19105,10208,9103,1105
,36,32,4
