RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,260308,245722,14586
19161,4222,3848,374
19027,10361,9290,1071
19013,64147,58463,5684
19017,12547,11435,1112
19019,9376,8709,667
19103,90030,84846,5184
19195,3160,2963,197
19033,21848,20007,1841
19081,4381,3889,492
19169,50883,47891,2992
19139,20897,16611,4286
19165,5633,5381,252
19009,2750,2586,164
19191,10478,9559,919
19065,8870,8245,625
19061,52050,50147,1903
19147,3759,3513,246
19183,10260,9504,756
19003,1589,1516,73
19173,2374,2290,84
19041,6980,6570,410
19125,14174,11920,2254
19123,7754,6901,853
19157,8970,8491,479
19099,17655,15972,1683
19073,4240,3700,540
19113,123229,114180,9049
19049,49543,46900,2643
19193,42870,38135,4735
19171,8316,7419,897
19109,6638,6048,590
19187,16806,15296,1510
19011,12099,11146,953
19141,5817,5259,558
19045,19908,18360,1548
19067,6884,6270,614
19189,4564,3970,594
19131,4313,4082,231
19029,6249,5856,393
19135,2990,2633,357
19127,20345,17451,2894
19063,3859,3532,327
19159,2107,2061,46
19115,4592,3501,1091
19163,74946,69333,5613
19149,10779,8635,2144
19059,8384,8085,299
19093,2761,2328,433
19015,14027,13193,834
19075,6271,5717,554
19091,3948,3547,401
19151,2919,2677,242
19055,7527,6637,890
19101,7262,6517,745
19005,5482,5245,237
19181,24711,23186,1525
19025,4756,4382,374
19083,7711,6748,963
19069,4400,4002,398
19023,7078,6596,482
19133,3729,3475,254
19085,5530,5149,381
19137,4467,3919,548
19111,13388,11666,1722
19037,5382,4624,758
19197,5978,5012,966
19179,13858,11374,2484
19121,7178,6799,379
19095,8411,7663,748
19143,2303,2064,239
19051,2714,2533,181
19047,7209,5843,1366
19145,6488,5940,548
19043,7054,6456,598
19057,15788,14827,961
19007,4724,4276,448
19107,3890,3568,322
19077,5230,4849,381
19129,6040,5737,303
19021,9913,6855,3058
19087,8711,7039,1672
19053,2572,2315,257
19097,8597,8183,414
19155,38804,36567,2237
19079,7678,6963,715
19035,5003,4599,404
19001,2965,2627,338
19175,5145,4846,299
19167,11954,10181,1773
19089,3844,3337,507
19119,3541,3331,210
19185,2227,2035,192
19039,4096,3353,743
19117,3231,2802,429
19031,9262,8559,703
19071,2603,2403,200
19177,2369,2131,238
19105,10229,9124,1105
,36,32,4
