RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,261245,246576,14669
19161,4228,3854,374
19027,10394,9319,1075
19013,64362,58659,5703
19017,12588,11474,1114
19019,9410,8743,667
19103,90206,85019,5187
19195,3173,2976,197
19033,21925,20080,1845
19081,4387,3895,492
19169,51024,48008,3016
19139,20964,16667,4297
19165,5645,5391,254
19009,2751,2587,164
19191,10514,9595,919
19065,8893,8264,629
19061,52191,50277,1914
19147,3768,3521,247
19183,10289,9532,757
19003,1593,1520,73
19173,2375,2291,84
19041,6999,6589,410
19125,14210,11953,2257
19123,7785,6931,854
19157,8986,8507,479
19099,17710,16022,1688
19073,4249,3708,541
19113,123663,114584,9079
19049,49756,47095,2661
19193,43041,38305,4736
19171,8339,7440,899
19109,6652,6058,594
19187,16858,15346,1512
19011,12138,11183,955
19141,5828,5268,560
19045,19969,18416,1553
19067,6900,6286,614
19189,4577,3983,594
19131,4328,4097,231
19029,6262,5864,398
19135,3004,2643,361
19127,20419,17517,2902
19063,3870,3542,328
19159,2116,2070,46
19163,75189,69555,5634
19115,4609,3514,1095
19149,10801,8657,2144
19059,8413,8114,299
19093,2768,2333,435
19015,14078,13242,836
19075,6285,5731,554
19091,3962,3561,401
19151,2928,2685,243
19055,7545,6654,891
19101,7283,6536,747
19005,5517,5279,238
19181,24831,23294,1537
19025,4795,4417,378
19083,7768,6761,1007
19069,4415,4016,399
19023,7093,6609,484
19133,3760,3492,268
19085,5543,5161,382
19137,4482,3933,549
19111,13443,11703,1740
19037,5396,4638,758
19197,6002,5032,970
19179,13903,11415,2488
19121,7206,6826,380
19095,8424,7674,750
19143,2304,2065,239
19051,2724,2543,181
19047,7231,5865,1366
19145,6516,5966,550
19043,7076,6478,598
19057,15869,14900,969
19007,4739,4286,453
19107,3905,3582,323
19077,5240,4857,383
19129,6060,5756,304
19021,9950,6891,3059
19087,8763,7070,1693
19053,2586,2328,258
19097,8633,8217,416
19155,38980,36742,2238
19079,7703,6981,722
19035,5010,4606,404
19001,2971,2632,339
19175,5162,4861,301
19167,11991,10213,1778
19089,3872,3365,507
19119,3551,3339,212
19185,2234,2040,194
19039,4125,3382,743
19117,3237,2808,429
19031,9285,8582,703
19071,2607,2407,200
19177,2373,2134,239
19105,10252,9146,1106
,36,32,4
