RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,262369,247623,14746
19059,8445,8140,305
19161,4257,3876,381
19027,10425,9346,1079
19013,64558,58839,5719
19017,12639,11521,1118
19019,9456,8784,672
19103,90465,85244,5221
19195,3183,2986,197
19033,22021,20174,1847
19081,4398,3906,492
19169,51148,48117,3031
19139,21054,16750,4304
19165,5667,5409,258
19009,2756,2592,164
19191,10546,9622,924
19065,8926,8297,629
19061,52361,50443,1918
19147,3785,3538,247
19183,10318,9560,758
19003,1603,1530,73
19173,2387,2302,85
19041,7029,6617,412
19125,14278,12017,2261
19123,7833,6976,857
19157,9004,8525,479
19099,17788,16093,1695
19073,4267,3723,544
19113,124127,115038,9089
19049,49979,47304,2675
19193,43282,38539,4743
19171,8359,7456,903
19109,6670,6075,595
19187,16929,15413,1516
19011,12161,11203,958
19141,5841,5278,563
19045,20043,18481,1562
19067,6937,6321,616
19189,4589,3994,595
19131,4339,4108,231
19029,6298,5898,400
19135,3014,2651,363
19127,20485,17570,2915
19063,3879,3551,328
19159,2121,2075,46
19163,75575,69918,5657
19115,4642,3539,1103
19149,10826,8680,2146
19093,2777,2341,436
19015,14130,13291,839
19075,6332,5778,554
19091,3975,3574,401
19151,2950,2701,249
19055,7615,6724,891
19101,7314,6567,747
19005,5541,5302,239
19181,24952,23407,1545
19025,4811,4430,381
19083,7810,6801,1009
19069,4441,4036,405
19023,7122,6635,487
19133,3774,3505,269
19085,5561,5179,382
19137,4499,3950,549
19111,13525,11783,1742
19037,5425,4664,761
19197,6010,5039,971
19179,13963,11468,2495
19121,7245,6863,382
19095,8448,7697,751
19143,2309,2070,239
19051,2735,2551,184
19047,7268,5897,1371
19155,39215,36971,2244
19145,6548,5998,550
19043,7094,6495,599
19057,15957,14986,971
19007,4761,4306,455
19107,3921,3597,324
19077,5262,4877,385
19129,6100,5796,304
19021,10210,6949,3261
19087,8817,7122,1695
19053,2606,2347,259
19097,8659,8243,416
19079,7738,7016,722
19035,5040,4633,407
19001,2979,2640,339
19175,5185,4882,303
19167,12044,10264,1780
19089,3888,3374,514
19119,3560,3346,214
19185,2241,2046,195
19039,4147,3402,745
19117,3249,2817,432
19031,9329,8624,705
19071,2617,2417,200
19177,2381,2142,239
19105,10305,9196,1109
,34,30,4
