RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,263706,248922,14784
19059,8501,8186,315
19161,4278,3895,383
19027,10471,9388,1083
19013,64863,59135,5728
19017,12708,11584,1124
19019,9519,8845,674
19103,90803,85559,5244
19195,3200,3002,198
19033,22149,20297,1852
19081,4419,3927,492
19169,51371,48330,3041
19139,21187,16875,4312
19165,5689,5428,261
19009,2762,2598,164
19191,10580,9656,924
19065,8969,8339,630
19061,52529,50603,1926
19147,3793,3544,249
19183,10372,9611,761
19003,1608,1535,73
19173,2392,2307,85
19041,7061,6648,413
19125,14360,12088,2272
19123,7884,7026,858
19157,9067,8570,497
19099,17861,16165,1696
19073,4290,3742,548
19113,125025,115903,9122
19049,50207,47519,2688
19193,43542,38796,4746
19171,8410,7503,907
19109,6693,6095,598
19187,17041,15523,1518
19011,12272,11309,963
19141,5855,5287,568
19045,20153,18587,1566
19067,7021,6405,616
19189,4613,4015,598
19131,4361,4130,231
19029,6317,5915,402
19135,3020,2657,363
19127,20610,17686,2924
19063,3905,3576,329
19159,2133,2087,46
19163,75937,70249,5688
19115,4678,3572,1106
19149,10888,8743,2145
19093,2789,2351,438
19015,14195,13353,842
19075,6423,5865,558
19091,3999,3598,401
19151,2960,2709,251
19055,7680,6788,892
19101,7339,6590,749
19005,5569,5330,239
19181,25075,23526,1549
19025,4834,4446,388
19083,7843,6831,1012
19069,4473,4066,407
19023,7148,6660,488
19133,3801,3532,269
19085,5574,5192,382
19137,4522,3972,550
19111,13623,11871,1752
19037,5447,4683,764
19197,6053,5078,975
19179,14045,11545,2500
19121,7288,6901,387
19095,8586,7828,758
19143,2315,2072,243
19051,2749,2562,187
19047,7305,5932,1373
19155,39470,37218,2252
19145,6580,6029,551
19043,7112,6512,600
19057,16092,15097,995
19007,4776,4319,457
19107,3943,3618,325
19077,5282,4897,385
19129,6133,5822,311
19021,10259,6998,3261
19087,8863,7151,1712
19053,2615,2356,259
19097,8706,8290,416
19079,7787,7063,724
19035,5055,4648,407
19001,2992,2652,340
19175,5215,4908,307
19167,12073,10292,1781
19089,3914,3400,514
19119,3569,3353,216
19185,2248,2053,195
19039,4170,3425,745
19117,3258,2825,433
19031,9404,8697,707
19071,2631,2431,200
19177,2391,2149,242
19105,10361,9248,1113
,34,30,4
