RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,264315,249518,14797
19059,8512,8197,315
19161,4280,3896,384
19027,10482,9399,1083
19013,65001,59268,5733
19017,12724,11600,1124
19019,9541,8866,675
19103,90884,85639,5245
19195,3202,3004,198
19033,22181,20326,1855
19081,4442,3942,500
19169,51441,48390,3051
19139,21230,16916,4314
19165,5698,5437,261
19009,2763,2599,164
19191,10593,9668,925
19065,8977,8347,630
19061,52596,50666,1930
19147,3798,3549,249
19183,10388,9626,762
19003,1611,1538,73
19173,2393,2308,85
19041,7071,6658,413
19125,14388,12114,2274
19123,7897,7039,858
19157,9087,8590,497
19099,17927,16229,1698
19073,4297,3749,548
19113,125204,116070,9134
19049,50308,47615,2693
19193,43624,38878,4746
19171,8420,7513,907
19109,6711,6110,601
19187,17064,15546,1518
19011,12284,11320,964
19141,5874,5301,573
19045,20193,18624,1569
19067,7037,6420,617
19189,4622,4024,598
19131,4366,4134,232
19029,6325,5923,402
19135,3023,2660,363
19127,20647,17721,2926
19063,3913,3582,331
19159,2134,2088,46
19163,76064,70368,5696
19115,4683,3576,1107
19149,10903,8758,2145
19093,2800,2359,441
19015,14217,13375,842
19075,6433,5874,559
19091,4006,3605,401
19151,2960,2709,251
19055,7686,6794,892
19101,7351,6601,750
19005,5572,5332,240
19181,25141,23591,1550
19025,4845,4456,389
19083,7852,6840,1012
19069,4483,4075,408
19023,7154,6665,489
19133,3807,3538,269
19085,5598,5216,382
19137,4544,3994,550
19111,13660,11901,1759
19037,5453,4687,766
19197,6069,5091,978
19179,14065,11564,2501
19121,7297,6909,388
19095,8597,7837,760
19143,2318,2075,243
19051,2752,2565,187
19047,7317,5944,1373
19155,39678,37424,2254
19145,6593,6042,551
19043,7124,6525,599
19057,16134,15139,995
19007,4786,4329,457
19107,3953,3628,325
19077,5291,4906,385
19129,6266,5952,314
19021,10286,7021,3265
19087,8898,7175,1723
19053,2624,2365,259
19097,8717,8300,417
19079,7797,7071,726
19035,5065,4658,407
19001,2994,2653,341
19175,5222,4915,307
19167,12093,10312,1781
19089,3919,3403,516
19119,3573,3357,216
19185,2257,2062,195
19039,4186,3441,745
19117,3274,2839,435
19031,9415,8707,708
19071,2652,2452,200
19177,2396,2151,245
19105,10374,9261,1113
,34,30,4
