RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,267360,252446,14914
19059,8577,8260,317
19161,4334,3945,389
19027,10604,9499,1105
19013,65730,59979,5751
19017,12833,11709,1124
19019,9659,8978,681
19103,91507,86187,5320
19195,3234,3035,199
19033,22421,20556,1865
19081,4478,3977,501
19169,51871,48775,3096
19139,21412,17084,4328
19165,5742,5479,263
19009,2796,2631,165
19191,10663,9733,930
19065,9070,8438,632
19061,53010,51073,1937
19147,3835,3581,254
19183,10474,9708,766
19003,1624,1551,73
19173,2415,2330,85
19041,7129,6714,415
19125,14569,12285,2284
19123,8007,7138,869
19157,9157,8652,505
19099,18062,16364,1698
19073,4343,3793,550
19113,126253,117076,9177
19049,50882,48160,2722
19193,44194,39440,4754
19171,8574,7669,905
19109,6760,6158,602
19187,17248,15722,1526
19011,12444,11475,969
19141,5929,5350,579
19045,20407,18816,1591
19067,7117,6495,622
19189,4657,4057,600
19131,4414,4180,234
19029,6377,5973,404
19135,3041,2678,363
19127,20888,17952,2936
19063,3950,3616,334
19159,2159,2112,47
19163,76884,71137,5747
19115,4738,3619,1119
19149,10999,8855,2144
19093,2826,2384,442
19015,14352,13502,850
19075,6484,5920,564
19091,4065,3664,401
19151,3000,2746,254
19055,7779,6886,893
19101,7419,6664,755
19005,5632,5390,242
19181,25419,23856,1563
19025,4896,4500,396
19083,7936,6920,1016
19069,4538,4126,412
19023,7233,6741,492
19133,3832,3558,274
19085,5691,5307,384
19137,4603,4054,549
19111,13847,12070,1777
19037,5508,4742,766
19197,6134,5148,986
19179,14252,11743,2509
19121,7374,6980,394
19095,8674,7909,765
19143,2342,2099,243
19051,2785,2598,187
19047,7420,6039,1381
19155,40289,38012,2277
19145,6660,6108,552
19043,7165,6566,599
19057,16346,15340,1006
19007,4843,4381,462
19107,3986,3659,327
19077,5365,4978,387
19129,6323,6009,314
19021,10418,7143,3275
19087,9019,7276,1743
19053,2644,2384,260
19097,8835,8412,423
19079,7860,7131,729
19035,5122,4714,408
19001,3031,2689,342
19175,5281,4973,308
19167,12217,10433,1784
19089,3960,3441,519
19119,3599,3376,223
19185,2272,2072,200
19039,4231,3484,747
19105,10471,9351,1120
19117,3307,2872,435
19031,9506,8790,716
19071,2674,2472,202
19177,2443,2189,254
,35,31,4
